Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
7.3,5.060632,19.0,3.0,7.3,0,,,,,,,,,,
,,,,,5,6.0,6,,,,,,,,
,,,,,11,6.0,6,,,,,,,,
,,,,,16,5.0,5,,,,,,,,
,,,,,20,4.0,4,,,,,,,,
,,,,,23,3.0,3,,,,,,,,
,,,,,28,5.0,5,,,,,,,,
,,,,,32,4.0,4,,,,,,,,
,,,,,36,4.0,4,,,,,,,,
,,,,,42,6.0,6,,,,,,,,
,,,,,49,7.0,7,,,,,,,,
,,,,,58,9.0,9,,,,,,,,
,,,,,67,9.0,9,,,,,,,,
,,,,,74,7.0,7,,,,,,,,
,,,,,81,7.0,7,,,,,,,,
,,,,,85,4.0,4,,,,,,,,
,,,,,89,4.0,4,,,,,,,,
,,,,,95,6.0,6,,,,,,,,
,,,,,98,3.0,3,,,,,,,,
,,,,,112,14.0,14,,,,,,,,
,,,,,116,4.0,4,,,,,,,,
,,,,,128,12.0,12,,,,,,,,
,,,,,141,13.0,13,,,,,,,,
,,,,,147,6.0,6,,,,,,,,
,,,,,150,3.0,3,,,,,,,,
,,,,,159,9.0,9,,,,,,,,
,,,,,163,4.0,4,,,,,,,,
,,,,,166,3.0,3,,,,,,,,
,,,,,171,5.0,5,,,,,,,,
,,,,,180,9.0,9,,,,,,,,
,,,,,184,4.0,4,,,,,,,,
,,,,,189,5.0,5,,,,,,,,
,,,,,193,4.0,4,,,,,,,,
,,,,,204,11.0,11,,,,,,,,
,,,,,214,10.0,10,,,,,,,,
,,,,,217,3.0,3,,,,,,,,
,,,,,221,4.0,4,,,,,,,,
,,,,,225,4.0,4,,,,,,,,
,,,,,229,4.0,4,,,,,,,,
,,,,,232,3.0,3,,,,,,,,
,,,,,235,3.0,3,,,,,,,,
,,,,,239,4.0,4,,,,,,,,
,,,,,247,8.0,8,,,,,,,,
,,,,,254,7.0,7,,,,,,,,
,,,,,262,8.0,8,,,,,,,,
,,,,,265,3.0,3,,,,,,,,
,,,,,269,4.0,4,,,,,,,,
,,,,,275,6.0,6,,,,,,,,
,,,,,279,4.0,4,,,,,,,,
,,,,,282,3.0,3,,,,,,,,
,,,,,290,8.0,8,,,,,,,,
,,,,,293,3.0,3,,,,,,,,
,,,,,296,3.0,3,,,,,,,,
,,,,,302,6.0,6,,,,,,,,
,,,,,306,4.0,4,,,,,,,,
,,,,,310,4.0,4,,,,,,,,
,,,,,316,6.0,6,,,,,,,,
,,,,,320,4.0,4,,,,,,,,
,,,,,323,3.0,3,,,,,,,,
,,,,,327,4.0,4,,,,,,,,
,,,,,330,3.0,3,,,,,,,,
,,,,,335,5.0,5,,,,,,,,
,,,,,338,3.0,3,,,,,,,,
,,,,,342,4.0,4,,,,,,,,
,,,,,345,3.0,3,,,,,,,,
,,,,,351,6.0,6,,,,,,,,
,,,,,357,6.0,6,,,,,,,,
,,,,,360,3.0,3,,,,,,,,
,,,,,365,5.0,5,,,,,,,,
,,,,,371,6.0,6,,,,,,,,
,,,,,377,6.0,6,,,,,,,,
,,,,,380,3.0,3,,,,,,,,
,,,,,392,12.0,12,,,,,,,,
,,,,,395,3.0,3,,,,,,,,
,,,,,403,8.0,8,,,,,,,,
,,,,,411,8.0,8,,,,,,,,
,,,,,415,4.0,4,,,,,,,,
,,,,,420,5.0,5,,,,,,,,
,,,,,424,4.0,4,,,,,,,,
,,,,,440,16.0,16,,,,,,,,
,,,,,447,7.0,7,,,,,,,,
,,,,,451,4.0,4,,,,,,,,
,,,,,459,8.0,8,,,,,,,,
,,,,,463,4.0,4,,,,,,,,
,,,,,471,8.0,8,,,,,,,,
,,,,,476,5.0,5,,,,,,,,
,,,,,479,3.0,3,,,,,,,,
,,,,,486,7.0,7,,,,,,,,
,,,,,494,8.0,8,,,,,,,,
,,,,,497,3.0,3,,,,,,,,
,,,,,503,6.0,6,,,,,,,,
,,,,,512,9.0,9,,,,,,,,
,,,,,515,3.0,3,,,,,,,,
,,,,,521,6.0,6,,,,,,,,
,,,,,528,7.0,7,,,,,,,,
,,,,,536,8.0,8,,,,,,,,
,,,,,539,3.0,3,,,,,,,,
,,,,,552,13.0,13,,,,,,,,
,,,,,559,7.0,7,,,,,,,,
,,,,,565,6.0,6,,,,,,,,
,,,,,569,4.0,4,,,,,,,,
,,,,,573,4.0,4,,,,,,,,
,,,,,576,3.0,3,,,,,,,,
,,,,,579,3.0,3,,,,,,,,
,,,,,583,4.0,4,,,,,,,,
,,,,,586,3.0,3,,,,,,,,
,,,,,591,5.0,5,,,,,,,,
,,,,,599,8.0,8,,,,,,,,
,,,,,603,4.0,4,,,,,,,,
,,,,,607,4.0,4,,,,,,,,
,,,,,619,12.0,12,,,,,,,,
,,,,,622,3.0,3,,,,,,,,
,,,,,645,23.0,23,,,,,,,,
,,,,,649,4.0,4,,,,,,,,
,,,,,653,4.0,4,,,,,,,,
,,,,,664,11.0,11,,,,,,,,
,,,,,668,4.0,4,,,,,,,,
,,,,,671,3.0,3,,,,,,,,
,,,,,675,4.0,4,,,,,,,,
,,,,,678,3.0,3,,,,,,,,
,,,,,683,5.0,5,,,,,,,,
,,,,,688,5.0,5,,,,,,,,
,,,,,708,20.0,20,,,,,,,,
,,,,,713,5.0,5,,,,,,,,
,,,,,718,5.0,5,,,,,,,,
,,,,,724,6.0,6,,,,,,,,
,,,,,727,3.0,3,,,,,,,,
,,,,,731,4.0,4,,,,,,,,
,,,,,746,15.0,15,,,,,,,,
,,,,,755,9.0,9,,,,,,,,
,,,,,759,4.0,4,,,,,,,,
,,,,,764,5.0,5,,,,,,,,
,,,,,770,6.0,6,,,,,,,,
,,,,,773,3.0,3,,,,,,,,
,,,,,776,3.0,3,,,,,,,,
,,,,,783,7.0,7,,,,,,,,
,,,,,796,13.0,13,,,,,,,,
,,,,,805,9.0,9,,,,,,,,
,,,,,809,4.0,4,,,,,,,,
,,,,,812,3.0,3,,,,,,,,
,,,,,822,10.0,10,,,,,,,,
,,,,,841,19.0,19,,,,,,,,
,,,,,848,7.0,7,,,,,,,,
,,,,,851,3.0,3,,,,,,,,
,,,,,857,6.0,6,,,,,,,,
,,,,,862,5.0,5,,,,,,,,
,,,,,865,3.0,3,,,,,,,,
,,,,,871,6.0,6,,,,,,,,
,,,,,875,4.0,4,,,,,,,,
,,,,,882,7.0,7,,,,,,,,
,,,,,900,18.0,18,,,,,,,,
,,,,,905,5.0,5,,,,,,,,
,,,,,910,5.0,5,,,,,,,,
,,,,,916,6.0,6,,,,,,,,
,,,,,921,5.0,5,,,,,,,,
,,,,,924,3.0,3,,,,,,,,
,,,,,927,3.0,3,,,,,,,,
,,,,,932,5.0,5,,,,,,,,
,,,,,942,10.0,10,,,,,,,,
,,,,,947,5.0,5,,,,,,,,
,,,,,953,6.0,6,,,,,,,,
,,,,,960,7.0,7,,,,,,,,
,,,,,965,5.0,5,,,,,,,,
,,,,,974,9.0,9,,,,,,,,
,,,,,981,7.0,7,,,,,,,,
,,,,,986,5.0,5,,,,,,,,
,,,,,992,6.0,6,,,,,,,,
,,,,,995,3.0,3,,,,,,,,
