Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.8,4.0199504,15.0,3.0,6.8,0,,,,,,,,,,
,,,,,3,4.0,4,,,,,,,,
,,,,,12,9.0,9,,,,,,,,
,,,,,17,5.0,5,,,,,,,,
,,,,,20,3.0,3,,,,,,,,
,,,,,29,9.0,9,,,,,,,,
,,,,,33,4.0,4,,,,,,,,
,,,,,36,3.0,3,,,,,,,,
,,,,,40,4.0,4,,,,,,,,
,,,,,49,9.0,9,,,,,,,,
,,,,,52,3.0,3,,,,,,,,
,,,,,70,18.0,18,,,,,,,,
,,,,,81,11.0,11,,,,,,,,
,,,,,92,11.0,11,,,,,,,,
,,,,,95,3.0,3,,,,,,,,
,,,,,100,5.0,5,,,,,,,,
,,,,,107,7.0,7,,,,,,,,
,,,,,114,7.0,7,,,,,,,,
,,,,,119,5.0,5,,,,,,,,
,,,,,123,4.0,4,,,,,,,,
,,,,,127,4.0,4,,,,,,,,
,,,,,134,7.0,7,,,,,,,,
,,,,,141,7.0,7,,,,,,,,
,,,,,147,6.0,6,,,,,,,,
,,,,,151,4.0,4,,,,,,,,
,,,,,161,10.0,10,,,,,,,,
,,,,,168,7.0,7,,,,,,,,
,,,,,172,4.0,4,,,,,,,,
,,,,,187,15.0,15,,,,,,,,
,,,,,191,4.0,4,,,,,,,,
,,,,,194,3.0,3,,,,,,,,
,,,,,197,3.0,3,,,,,,,,
,,,,,200,3.0,3,,,,,,,,
,,,,,203,3.0,3,,,,,,,,
,,,,,207,4.0,4,,,,,,,,
,,,,,211,4.0,4,,,,,,,,
,,,,,216,5.0,5,,,,,,,,
,,,,,223,7.0,7,,,,,,,,
,,,,,229,6.0,6,,,,,,,,
,,,,,232,3.0,3,,,,,,,,
,,,,,240,8.0,8,,,,,,,,
,,,,,244,4.0,4,,,,,,,,
,,,,,248,4.0,4,,,,,,,,
,,,,,252,4.0,4,,,,,,,,
,,,,,258,6.0,6,,,,,,,,
,,,,,262,4.0,4,,,,,,,,
,,,,,265,3.0,3,,,,,,,,
,,,,,271,6.0,6,,,,,,,,
,,,,,274,3.0,3,,,,,,,,
,,,,,278,4.0,4,,,,,,,,
,,,,,282,4.0,4,,,,,,,,
,,,,,285,3.0,3,,,,,,,,
,,,,,295,10.0,10,,,,,,,,
,,,,,298,3.0,3,,,,,,,,
,,,,,304,6.0,6,,,,,,,,
,,,,,307,3.0,3,,,,,,,,
,,,,,310,3.0,3,,,,,,,,
,,,,,316,6.0,6,,,,,,,,
,,,,,319,3.0,3,,,,,,,,
,,,,,333,14.0,14,,,,,,,,
,,,,,339,6.0,6,,,,,,,,
,,,,,346,7.0,7,,,,,,,,
,,,,,349,3.0,3,,,,,,,,
,,,,,353,4.0,4,,,,,,,,
,,,,,357,4.0,4,,,,,,,,
,,,,,364,7.0,7,,,,,,,,
,,,,,373,9.0,9,,,,,,,,
,,,,,384,11.0,11,,,,,,,,
,,,,,390,6.0,6,,,,,,,,
,,,,,396,6.0,6,,,,,,,,
,,,,,399,3.0,3,,,,,,,,
,,,,,404,5.0,5,,,,,,,,
,,,,,412,8.0,8,,,,,,,,
,,,,,416,4.0,4,,,,,,,,
,,,,,424,8.0,8,,,,,,,,
,,,,,430,6.0,6,,,,,,,,
,,,,,437,7.0,7,,,,,,,,
,,,,,444,7.0,7,,,,,,,,
,,,,,447,3.0,3,,,,,,,,
,,,,,456,9.0,9,,,,,,,,
,,,,,460,4.0,4,,,,,,,,
,,,,,463,3.0,3,,,,,,,,
,,,,,466,3.0,3,,,,,,,,
,,,,,470,4.0,4,,,,,,,,
,,,,,476,6.0,6,,,,,,,,
,,,,,487,11.0,11,,,,,,,,
,,,,,493,6.0,6,,,,,,,,
,,,,,498,5.0,5,,,,,,,,
,,,,,502,4.0,4,,,,,,,,
,,,,,506,4.0,4,,,,,,,,
,,,,,532,26.0,26,,,,,,,,
,,,,,546,14.0,14,,,,,,,,
