Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.0,3.34664,13.0,3.0,6.0,0,,,,,,,,,,
,,,,,3,4.0,4,,,,,,,,
,,,,,7,4.0,4,,,,,,,,
,,,,,10,3.0,3,,,,,,,,
,,,,,17,7.0,7,,,,,,,,
,,,,,38,21.0,21,,,,,,,,
,,,,,42,4.0,4,,,,,,,,
,,,,,45,3.0,3,,,,,,,,
,,,,,51,6.0,6,,,,,,,,
,,,,,54,3.0,3,,,,,,,,
,,,,,61,7.0,7,,,,,,,,
,,,,,66,5.0,5,,,,,,,,
,,,,,69,3.0,3,,,,,,,,
,,,,,72,3.0,3,,,,,,,,
,,,,,80,8.0,8,,,,,,,,
,,,,,83,3.0,3,,,,,,,,
,,,,,87,4.0,4,,,,,,,,
,,,,,93,6.0,6,,,,,,,,
,,,,,106,13.0,13,,,,,,,,
,,,,,114,8.0,8,,,,,,,,
,,,,,118,4.0,4,,,,,,,,
,,,,,123,5.0,5,,,,,,,,
,,,,,126,3.0,3,,,,,,,,
,,,,,139,13.0,13,,,,,,,,
,,,,,144,5.0,5,,,,,,,,
,,,,,147,3.0,3,,,,,,,,
,,,,,150,3.0,3,,,,,,,,
,,,,,157,7.0,7,,,,,,,,
,,,,,161,4.0,4,,,,,,,,
,,,,,172,11.0,11,,,,,,,,
,,,,,182,10.0,10,,,,,,,,
,,,,,187,5.0,5,,,,,,,,
,,,,,195,8.0,8,,,,,,,,
,,,,,198,3.0,3,,,,,,,,
,,,,,202,4.0,4,,,,,,,,
,,,,,206,4.0,4,,,,,,,,
,,,,,215,9.0,9,,,,,,,,
,,,,,231,16.0,16,,,,,,,,
,,,,,234,3.0,3,,,,,,,,
,,,,,238,4.0,4,,,,,,,,
,,,,,243,5.0,5,,,,,,,,
,,,,,247,4.0,4,,,,,,,,
,,,,,256,9.0,9,,,,,,,,
,,,,,259,3.0,3,,,,,,,,
,,,,,266,7.0,7,,,,,,,,
,,,,,280,14.0,14,,,,,,,,
,,,,,294,14.0,14,,,,,,,,
,,,,,304,10.0,10,,,,,,,,
,,,,,313,9.0,9,,,,,,,,
,,,,,317,4.0,4,,,,,,,,
,,,,,320,3.0,3,,,,,,,,
,,,,,324,4.0,4,,,,,,,,
,,,,,328,4.0,4,,,,,,,,
,,,,,332,4.0,4,,,,,,,,
,,,,,342,10.0,10,,,,,,,,
,,,,,358,16.0,16,,,,,,,,
,,,,,367,9.0,9,,,,,,,,
,,,,,370,3.0,3,,,,,,,,
,,,,,373,3.0,3,,,,,,,,
,,,,,381,8.0,8,,,,,,,,
,,,,,385,4.0,4,,,,,,,,
,,,,,389,4.0,4,,,,,,,,
,,,,,396,7.0,7,,,,,,,,
,,,,,400,4.0,4,,,,,,,,
,,,,,403,3.0,3,,,,,,,,
,,,,,409,6.0,6,,,,,,,,
,,,,,413,4.0,4,,,,,,,,
,,,,,416,3.0,3,,,,,,,,
,,,,,424,8.0,8,,,,,,,,
,,,,,430,6.0,6,,,,,,,,
,,,,,445,15.0,15,,,,,,,,
,,,,,456,11.0,11,,,,,,,,
,,,,,461,5.0,5,,,,,,,,
,,,,,469,8.0,8,,,,,,,,
,,,,,477,8.0,8,,,,,,,,
,,,,,489,12.0,12,,,,,,,,
,,,,,494,5.0,5,,,,,,,,
,,,,,498,4.0,4,,,,,,,,
,,,,,501,3.0,3,,,,,,,,
,,,,,504,3.0,3,,,,,,,,
,,,,,510,6.0,6,,,,,,,,
,,,,,516,6.0,6,,,,,,,,
,,,,,529,13.0,13,,,,,,,,
,,,,,541,12.0,12,,,,,,,,
,,,,,558,17.0,17,,,,,,,,
,,,,,565,7.0,7,,,,,,,,
