Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
8.1,5.4120235,18.0,3.0,8.1,0,,,,,,,,,,
,,,,,2,3.0,3,,,,,,,,
,,,,,13,11.0,11,,,,,,,,
,,,,,17,4.0,4,,,,,,,,
,,,,,20,3.0,3,,,,,,,,
,,,,,28,8.0,8,,,,,,,,
,,,,,36,8.0,8,,,,,,,,
,,,,,41,5.0,5,,,,,,,,
,,,,,47,6.0,6,,,,,,,,
,,,,,50,3.0,3,,,,,,,,
,,,,,58,8.0,8,,,,,,,,
,,,,,62,4.0,4,,,,,,,,
,,,,,66,4.0,4,,,,,,,,
,,,,,69,3.0,3,,,,,,,,
,,,,,73,4.0,4,,,,,,,,
,,,,,76,3.0,3,,,,,,,,
,,,,,79,3.0,3,,,,,,,,
,,,,,87,8.0,8,,,,,,,,
,,,,,95,8.0,8,,,,,,,,
,,,,,99,4.0,4,,,,,,,,
,,,,,106,7.0,7,,,,,,,,
,,,,,110,4.0,4,,,,,,,,
,,,,,115,5.0,5,,,,,,,,
,,,,,118,3.0,3,,,,,,,,
,,,,,122,4.0,4,,,,,,,,
,,,,,151,29.0,29,,,,,,,,
,,,,,157,6.0,6,,,,,,,,
,,,,,162,5.0,5,,,,,,,,
,,,,,172,10.0,10,,,,,,,,
,,,,,178,6.0,6,,,,,,,,
,,,,,184,6.0,6,,,,,,,,
,,,,,189,5.0,5,,,,,,,,
,,,,,196,7.0,7,,,,,,,,
,,,,,203,7.0,7,,,,,,,,
,,,,,209,6.0,6,,,,,,,,
,,,,,217,8.0,8,,,,,,,,
,,,,,222,5.0,5,,,,,,,,
,,,,,230,8.0,8,,,,,,,,
,,,,,235,5.0,5,,,,,,,,
,,,,,245,10.0,10,,,,,,,,
,,,,,251,6.0,6,,,,,,,,
,,,,,259,8.0,8,,,,,,,,
,,,,,263,4.0,4,,,,,,,,
,,,,,267,4.0,4,,,,,,,,
,,,,,271,4.0,4,,,,,,,,
,,,,,279,8.0,8,,,,,,,,
,,,,,283,4.0,4,,,,,,,,
,,,,,295,12.0,12,,,,,,,,
,,,,,301,6.0,6,,,,,,,,
,,,,,306,5.0,5,,,,,,,,
,,,,,321,15.0,15,,,,,,,,
,,,,,326,5.0,5,,,,,,,,
,,,,,330,4.0,4,,,,,,,,
,,,,,335,5.0,5,,,,,,,,
,,,,,341,6.0,6,,,,,,,,
,,,,,346,5.0,5,,,,,,,,
,,,,,349,3.0,3,,,,,,,,
,,,,,354,5.0,5,,,,,,,,
,,,,,362,8.0,8,,,,,,,,
,,,,,365,3.0,3,,,,,,,,
,,,,,370,5.0,5,,,,,,,,
,,,,,374,4.0,4,,,,,,,,
,,,,,379,5.0,5,,,,,,,,
,,,,,384,5.0,5,,,,,,,,
,,,,,388,4.0,4,,,,,,,,
,,,,,392,4.0,4,,,,,,,,
,,,,,395,3.0,3,,,,,,,,
,,,,,398,3.0,3,,,,,,,,
,,,,,403,5.0,5,,,,,,,,
,,,,,406,3.0,3,,,,,,,,
,,,,,409,3.0,3,,,,,,,,
,,,,,414,5.0,5,,,,,,,,
,,,,,420,6.0,6,,,,,,,,
,,,,,423,3.0,3,,,,,,,,
,,,,,433,10.0,10,,,,,,,,
,,,,,444,11.0,11,,,,,,,,
,,,,,448,4.0,4,,,,,,,,
,,,,,457,9.0,9,,,,,,,,
,,,,,462,5.0,5,,,,,,,,
,,,,,466,4.0,4,,,,,,,,
,,,,,470,4.0,4,,,,,,,,
,,,,,474,4.0,4,,,,,,,,
,,,,,479,5.0,5,,,,,,,,
,,,,,483,4.0,4,,,,,,,,
,,,,,489,6.0,6,,,,,,,,
,,,,,493,4.0,4,,,,,,,,
,,,,,503,10.0,10,,,,,,,,
,,,,,507,4.0,4,,,,,,,,
,,,,,510,3.0,3,,,,,,,,
,,,,,522,12.0,12,,,,,,,,
,,,,,525,3.0,3,,,,,,,,
,,,,,540,15.0,15,,,,,,,,
