eval/mean_reward,step,train/epoch,train/loss,train/samples_per_sec,train/steps_per_sec
0.10397498493899655,0,,,,
,100,1,0.5978820970654488,1916.2172912561955,7.485223793969514
,200,2,0.37723284065723417,126923.68713311122,495.7956528637157
,300,3,0.3344781920313835,99280.98846634141,387.81636119664614
,400,4,0.3202142357826233,125129.52861360394,488.7872211468904
,500,5,0.3031627137959003,124189.25277849198,485.1142686659843
,600,6,0.29099151626229286,127042.73300679382,496.26067580778835
,700,7,0.2858230231702328,125971.23328789839,492.0751300308531
,800,8,0.28772532641887666,129524.50340507778,505.95509142608506
,900,9,0.2719453379511833,128360.69354887232,501.4089591752825
,1000,10,0.2722163224220276,124326.76570718132,485.651428543677
,1100,11,0.26757232546806337,129194.40224879007,504.6656337843362
,1200,12,0.2700641648471355,129367.41356134339,505.3414592239976
,1300,13,0.2647085027396679,120381.64744165486,470.2408103189643
,1400,14,0.2616267484426498,122308.379557301,477.76710764570703
,1500,15,0.25734110817313194,97584.03281263103,381.18762817434
,1600,16,0.25464732736349105,121673.00380228137,475.2851711026616
,1700,17,0.2525029894709587,123478.2273156991,482.3368254519496
,1800,18,0.24460464358329773,112011.9712794305,437.54676281027537
,1900,19,0.24575542032718659,118075.18991195096,461.23121059355844
,2000,20,0.24643001109361648,115106.36097534656,449.6342225599475
,2100,21,0.24335334137082099,110752.51139972139,432.6269976551617
,2200,22,0.24257776483893395,126917.39462385849,495.7710727494472
,2300,23,0.23629455178976058,118446.6827988581,462.6823546830395
,2400,24,0.23806515336036682,118573.41361741547,463.1773969430292
,2500,25,0.23679605960845948,120606.80297748045,471.120324130783
,2600,26,0.23696931853890418,96030.12945311591,375.117693176234
,2700,27,0.2333318394422531,115630.43429165067,451.68138395176044
,2800,28,0.23301865577697753,102838.91649560323,401.7145175609501
,2900,29,0.23198893487453462,97598.17003431187,381.24285169653075
,3000,30,0.2310534191131592,113753.51036223384,444.3496498524759
,3100,31,0.23294585213065147,123593.87824071839,482.7885868778062
,3200,32,0.22733336463570594,125188.27142382097,489.0166852493007
,3300,34,0.22228292241692543,110829.22774540448,432.92667088048626
,3400,35,0.22390023335814477,108069.77254690058,422.1475490113304
,3500,36,0.2233371540904045,104730.03379179997,409.10169449921864
,3600,37,0.22435444235801696,86670.074786795,338.55497963591796
,3700,38,0.22379233062267304,101633.27854664411,397.00499432282857
,3800,39,0.21862160682678222,83787.18056137412,327.29367406786764
,3900,40,0.218432707041502,105859.05032853522,413.5119153458407
,4000,41,0.22052061855792998,113298.39966010481,442.5718736722844
,4100,42,0.21711503103375435,121833.40234053388,475.9117278927105
,4200,43,0.21921260818839072,123392.52318429829,482.0020436886652
,4300,44,0.21833699584007263,121427.72441598482,474.3270484999407
,4400,45,0.21687041193246842,120964.6934301051,472.518333711348
,4500,46,0.2140777188539505,103862.382343395,405.7124310288867
,4600,47,0.21584356293082238,95194.18125567074,371.85227052996385
,4700,48,0.21171293959021567,101210.97348351566,395.35536516998303
,4800,49,0.21255845606327056,115717.72108413039,452.02234798488433
,4900,50,0.2119285823404789,103226.63892450745,403.22905829885724
,5000,51,0.2089570204913616,130050.90273614907,508.0113388130823
,5100,52,0.2074638718366623,129588.10219236746,506.2035241889354
,5200,53,0.21045379251241683,129208.74783600583,504.7216712343978
,5300,54,0.2066558900475502,124491.8204983563,486.2961738217043
,5400,55,0.2049908834695816,126558.49869980916,494.36913554612954
,5500,56,0.20613058388233185,129196.35827765106,504.67327452207445
,5600,57,0.20531055048108102,129210.70429928429,504.72931366907926
,5700,58,0.20437833935022354,129019.90232790206,503.98399346836743
,5800,59,0.2037537269294262,130218.26819876599,508.66511015142964
,5900,60,0.204594856351614,129406.6502886375,505.4947276899902
,6000,61,0.20230959013104438,103011.89063034423,402.39019777478217
,6100,62,0.20002911284565925,114880.11631611777,448.75045435983503
,6200,63,0.2045380263030529,120521.0652932287,470.7854113016746
,6300,64,0.20129605650901794,100864.4397689574,394.00171784748983
,6400,65,0.2033981029689312,109927.38780750684,429.4038586230736
,6500,67,0.1985708601772785,115280.00432300018,450.31251688671944
,6600,68,0.19708111226558686,110768.3254511862,432.6887712936961
,6700,69,0.2000596922636032,99576.79860592482,388.97186955439383
,6800,70,0.19614121928811074,116793.11650569594,456.2231113503748
,6900,71,0.1965463389456272,118523.45699589336,462.9822538902084
,7000,72,0.19441459760069846,117436.0409374699,458.7345349119918
,7100,73,0.19685944750905038,123861.77799711634,483.8350703012357
,7200,74,0.19513070851564407,99618.25971569882,389.1338270144485
,7300,75,0.1973597577214241,115169.01953374542,449.87898255369305
,7400,76,0.19355374678969384,107833.51516198195,421.224668601492
,7500,77,0.19299664720892906,104867.31826411818,409.63796196921163
,7600,78,0.19420458897948265,108385.93861799462,423.38257272654147
,7700,79,0.19152477338910104,126367.3340441496,493.62239860995936
,7800,80,0.19159281268715858,119502.7564991294,466.80764257472424
,7900,81,0.19303995072841645,125505.57666380685,490.2561588429955
,8000,82,0.19194981932640076,129058.27787860455,504.13389796329903
,8100,83,0.19005441904067993,130839.2108760094,511.0906674844117
,8200,84,0.18781938552856445,130435.22566313065,509.5126002466041
,8300,85,0.19062515422701837,102662.81681103626,401.0266281681104
,8400,86,0.18873125731945037,127363.18407960198,497.51243781094524
,8500,87,0.18928295880556106,126649.28537151281,494.72377098247193
,8600,88,0.1912461245059967,129259.63514448298,504.92044978313663
,8700,89,0.18679610878229141,130160.00528775022,508.4375206552743
,8800,90,0.1873137529194355,129253.1088906953,504.8949566042785
,8900,91,0.1842977586388588,129307.94991337378,505.10917934911635
,9000,92,0.18547178953886032,131197.27765648864,512.4893658456588
,9100,93,0.18674713253974914,130820.48975920853,511.01753812190833
,9200,94,0.1835426591336727,126367.95782469407,493.6248352527112
,9300,95,0.1834792123734951,125609.64839111705,490.662689027801
,9400,96,0.18147751405835152,128191.64651153475,500.7486191856826
,9500,97,0.18265116184949876,102581.7749051319,400.7100582231715
,9600,98,0.18550948768854142,117614.62831939723,459.43214187264545
,9700,99,0.1807573525607586,108362.08173717961,423.28938178585787
,9800,101,0.18238482609391213,109955.71705301497,429.51451973833974
,9900,102,0.18330082565546035,105585.73272786515,412.44426846822324
,10000,103,0.1792266209423542,128547.61283065862,502.1391126197602
0.80606569274513,10000,,,,
,10100,104,0.18202772438526155,1664.6919042196103,6.5027027508578525
,10200,105,0.18063174605369567,117350.98487730863,458.4022846769868
,10300,106,0.17795894920825958,122182.87339754296,477.2768492091522
,10400,107,0.18159648805856704,121892.57264749715,476.1428619042857
,10500,108,0.18082878038287162,93203.43105130557,364.0759025441624
,10600,109,0.1797415156662464,122191.62128234378,477.3110206341554
,10700,110,0.18028065592050552,124083.91174531778,484.70278025514756
,10800,111,0.17982431814074518,123310.50162326715,481.6816469658873
,10900,112,0.1792914429306984,127897.68185451638,499.6003197442046
,11000,113,0.1765822760760784,114723.09608955571,448.137094099827
,11100,114,0.17704202950000764,125583.15223523293,490.55918841887865
,11200,115,0.17916084870696067,125200.51645213037,489.06451739113425
,11300,116,0.1749902855604887,125764.53538355726,491.26771634202055
,11400,117,0.17592184007167816,125009.15594403887,488.3170154064018
,11500,118,0.17780811980366706,108679.04022822599,424.52750089150777
,11600,119,0.17724252596497536,116383.73900946528,454.62398050572375
,11700,120,0.17664627149701118,96107.64055742431,375.4204709274387
,11800,121,0.17250661075115203,121404.6902046333,474.2370711118488
,11900,122,0.17332983508706093,123033.74296520933,480.60055845784893
,12000,123,0.17349638015031815,112949.97992490591,441.2108590816637
,12100,124,0.17437692746520042,114927.56420904247,448.93579769157213
,12200,125,0.17751523599028587,110243.6125453786,430.63911150538513
,12300,126,0.16974346563220025,89310.32197068808,348.8684451980003
,12400,127,0.17347150802612304,76873.1832704735,300.2858721502871
,12500,128,0.17243687592446805,90978.55251701406,355.3849707695862
,12600,129,0.17272109851241113,90331.6866619619,352.85815102328866
,12700,130,0.17508502081036567,79923.57308323916,312.20145735640295
,12800,131,0.17257719591259957,75285.26055758145,294.08304905305255
,12900,132,0.1748655478656292,106290.2221299564,415.1961801951422
,13000,134,0.17342707335948945,119710.63694476009,467.6196755654691
,13100,135,0.17156232967972757,121219.58264476506,473.5139947061135
,13200,136,0.1697725336253643,121888.51010341478,476.126992591464
,13300,137,0.1708381463587284,122949.83550656772,480.27279494753014
,13400,138,0.17113509744405747,109383.94619677146,427.2810398311385
,13500,139,0.1715099209547043,113440.98410053707,443.1288441427229
,13600,140,0.17238835573196412,119788.49843245519,467.9238220017781
,13700,141,0.1664598037302494,120342.60034034392,470.08828257946845
,13800,142,0.16973238497972487,118816.10886525974,464.12542525492086
,13900,143,0.1723117695748806,95032.33326651371,371.2200518223192
,14000,144,0.1713506244122982,106876.85782038009,417.4877258608597
,14100,145,0.16719410046935082,98288.39966520513,383.93906119220753
,14200,146,0.16690866872668267,95972.16807125934,374.8912815283568
,14300,147,0.16606806308031083,93590.1701074459,365.58660198221054
,14400,148,0.16676764771342278,115044.80455865039,449.3937678072281
,14500,149,0.1687282830476761,117621.11298978166,459.4574726163346
,14600,150,0.1659047269821167,122580.70694592084,478.8308865075033
,14700,151,0.16774571537971497,127960.97190356941,499.847546498318
,14800,152,0.16404884070158005,125963.79524978719,492.0460751944812
,14900,153,0.1636674478650093,127003.65631619941,496.10803248515396
,15000,154,0.16287182345986367,120751.29949152382,471.68476363876493
,15100,155,0.1650698274374008,99961.73339893323,390.4755210895829
,15200,156,0.16387003168463707,121648.72031248515,475.1903137206451
,15300,157,0.164965733140707,120568.17753664142,470.96944350250556
,15400,158,0.1648249153792858,126305.61023864853,493.3812899947208
,15500,159,0.16734009057283403,125630.60675657107,490.74455764285574
,15600,160,0.16518758818507195,126305.61023864853,493.3812899947208
,15700,161,0.16602506697177888,127809.56375001247,499.2561083984862
,15800,162,0.16599499553442001,124083.91174531778,484.70278025514756
,15900,163,0.16353859528899192,127775.75355251534,499.12403731451303
,16000,164,0.16290296271443366,129683.28909241961,506.5753480172641
,16100,165,0.16610389418900012,128226.96172224838,500.88656922753273
,16200,167,0.16574189871549605,101673.643490901,397.162669886332
,16300,168,0.15925221748650073,123440.71711341599,482.1903012242812
,16400,169,0.16044531881809235,123339.01849121692,481.7930409813161
,16500,170,0.1634517027437687,112473.58408498784,439.34993783198377
,16600,171,0.16415292173624038,105720.90507006075,412.9722854299248
,16700,172,0.16380265817046166,94893.54130834469,370.67789573572145
,16800,173,0.16391513615846634,110076.7527357943,429.9873153741965
,16900,174,0.16066585153341292,124972.54021333203,488.17398520832825
,17000,175,0.1633254660665989,126244.56926437882,493.14284868897977
,17100,176,0.16288924261927604,125662.05742166983,490.8674118033978
,17200,177,0.16354690253734588,121848.47951184453,475.9706230931427
,17300,178,0.160832938849926,122596.5567607691,478.8927998467543
,17400,179,0.15719766326248646,99623.68708822534,389.15502768838024
,17500,180,0.16182804405689238,106388.726119679,415.5809614049961
,17600,181,0.16183172658085823,127236.58051689861,497.0178926441352
,17700,182,0.16389907404780388,125597.32320704915,490.61454377753574
,17800,183,0.15749385960400106,127983.36216291881,499.9350084489016
,17900,184,0.16255204811692237,126922.4285813444,495.79073664587656
,18000,185,0.160097192004323,129106.44220973746,504.32203988178696
,18100,186,0.15965138599276543,128092.22640301017,500.36025938675846
,18200,187,0.16156181052327157,128702.71683391316,502.7449876324733
,18300,188,0.16379262894392013,128588.93733298506,502.3005364569729
,18400,189,0.1607528218626976,128014.7216929947,500.05750661326056
,18500,190,0.1564301736652851,100661.3767016098,393.2085027406633
,18600,191,0.15899586625397205,126596.67584822245,494.51826503211896
,18700,192,0.1596460624784231,124352.73430289606,485.75286837068774
,18800,193,0.15671074032783508,127878.51541036015,499.52545082171935
,18900,194,0.1597011739015579,124634.858812074,486.8549172346641
,19000,195,0.1573432904481888,121894.89422284863,476.15193055800245
,19100,196,0.15870790362358092,127122.22106355614,496.57117602951615
,19200,197,0.15606900155544282,127322.64353638643,497.3540763140095
,19300,198,0.1566518098115921,127998.08002879958,499.99250011249836
,19400,199,0.15707538709044455,127732.40062069963,498.9546899246079
,19500,201,0.15848993703722955,126435.98684275513,493.8905736045122
,19600,202,0.1592494533956051,102693.29204207215,401.14567203934433
,19700,203,0.15300806775689124,127576.44619862057,498.3454929633616
,19800,204,0.16043597348034383,116620.73206842357,455.5497346422796
,19900,205,0.1578158824145794,121162.78409359825,473.2921253656182
,20000,206,0.15555067896842956,125934.05187892623,491.9298901520556
0.7925088075874007,20000,,,,
,20100,207,0.15308921083807944,1701.449681652783,6.646287818956184
,20200,208,0.15290486477315426,121111.19521610778,473.090606312921
,20300,209,0.15605461165308954,125597.32320704915,490.61454377753574
,20400,210,0.15646028235554696,122336.434753105,477.8766982543164
,20500,211,0.1590238654613495,120543.19778501874,470.87186634772945
,20600,212,0.15270984642207622,124747.21633408863,487.2938138050337
