Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.8,4.0199504,15.0,3.0,6.8,0,,,,,,,,,,
,,,,,3,4.0,4,,,,,,,,
,,,,,6,3.0,3,,,,,,,,
,,,,,33,27.0,27,,,,,,,,
,,,,,36,3.0,3,,,,,,,,
,,,,,39,3.0,3,,,,,,,,
,,,,,42,3.0,3,,,,,,,,
,,,,,47,5.0,5,,,,,,,,
,,,,,55,8.0,8,,,,,,,,
,,,,,58,3.0,3,,,,,,,,
,,,,,63,5.0,5,,,,,,,,
,,,,,67,4.0,4,,,,,,,,
,,,,,70,3.0,3,,,,,,,,
,,,,,73,3.0,3,,,,,,,,
,,,,,82,9.0,9,,,,,,,,
,,,,,85,3.0,3,,,,,,,,
,,,,,88,3.0,3,,,,,,,,
,,,,,94,6.0,6,,,,,,,,
,,,,,99,5.0,5,,,,,,,,
,,,,,103,4.0,4,,,,,,,,
,,,,,115,12.0,12,,,,,,,,
,,,,,120,5.0,5,,,,,,,,
,,,,,124,4.0,4,,,,,,,,
,,,,,127,3.0,3,,,,,,,,
,,,,,131,4.0,4,,,,,,,,
,,,,,144,13.0,13,,,,,,,,
,,,,,148,4.0,4,,,,,,,,
,,,,,160,12.0,12,,,,,,,,
,,,,,172,12.0,12,,,,,,,,
,,,,,176,4.0,4,,,,,,,,
,,,,,180,4.0,4,,,,,,,,
,,,,,184,4.0,4,,,,,,,,
,,,,,187,3.0,3,,,,,,,,
,,,,,191,4.0,4,,,,,,,,
,,,,,194,3.0,3,,,,,,,,
,,,,,200,6.0,6,,,,,,,,
,,,,,204,4.0,4,,,,,,,,
,,,,,208,4.0,4,,,,,,,,
,,,,,222,14.0,14,,,,,,,,
,,,,,238,16.0,16,,,,,,,,
,,,,,246,8.0,8,,,,,,,,
,,,,,252,6.0,6,,,,,,,,
,,,,,256,4.0,4,,,,,,,,
,,,,,261,5.0,5,,,,,,,,
,,,,,276,15.0,15,,,,,,,,
,,,,,279,3.0,3,,,,,,,,
,,,,,282,3.0,3,,,,,,,,
,,,,,287,5.0,5,,,,,,,,
,,,,,291,4.0,4,,,,,,,,
,,,,,296,5.0,5,,,,,,,,
,,,,,300,4.0,4,,,,,,,,
,,,,,305,5.0,5,,,,,,,,
,,,,,314,9.0,9,,,,,,,,
,,,,,317,3.0,3,,,,,,,,
,,,,,321,4.0,4,,,,,,,,
,,,,,326,5.0,5,,,,,,,,
,,,,,329,3.0,3,,,,,,,,
,,,,,341,12.0,12,,,,,,,,
,,,,,346,5.0,5,,,,,,,,
,,,,,353,7.0,7,,,,,,,,
,,,,,357,4.0,4,,,,,,,,
,,,,,361,4.0,4,,,,,,,,
,,,,,366,5.0,5,,,,,,,,
,,,,,370,4.0,4,,,,,,,,
,,,,,375,5.0,5,,,,,,,,
,,,,,382,7.0,7,,,,,,,,
,,,,,386,4.0,4,,,,,,,,
,,,,,390,4.0,4,,,,,,,,
,,,,,401,11.0,11,,,,,,,,
,,,,,405,4.0,4,,,,,,,,
,,,,,412,7.0,7,,,,,,,,
,,,,,422,10.0,10,,,,,,,,
,,,,,433,11.0,11,,,,,,,,
,,,,,438,5.0,5,,,,,,,,
,,,,,442,4.0,4,,,,,,,,
,,,,,445,3.0,3,,,,,,,,
,,,,,450,5.0,5,,,,,,,,
,,,,,454,4.0,4,,,,,,,,
,,,,,458,4.0,4,,,,,,,,
,,,,,464,6.0,6,,,,,,,,
,,,,,479,15.0,15,,,,,,,,
,,,,,483,4.0,4,,,,,,,,
,,,,,489,6.0,6,,,,,,,,
,,,,,500,11.0,11,,,,,,,,
,,,,,504,4.0,4,,,,,,,,
,,,,,507,3.0,3,,,,,,,,
,,,,,511,4.0,4,,,,,,,,
,,,,,516,5.0,5,,,,,,,,
,,,,,524,8.0,8,,,,,,,,
,,,,,530,6.0,6,,,,,,,,
,,,,,533,3.0,3,,,,,,,,
,,,,,536,3.0,3,,,,,,,,
