Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-248.44873,67.29911,-132.35509,-347.75537,1000.0,0,,,,,,,,,,,,
,,,,,999,-323.1704,1000,,,,,,,,,,
,,,,,1999,-373.12268,1000,,,,,,,,,,
,,,,,2999,-345.59708,1000,,,,,,,,,,
,,,,,3999,-380.24072,1000,,,,,,,,,,
,,,,,4999,-319.84192,1000,,,,,,,,,,
-209.98257,67.720116,-112.564095,-367.23203,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-312.88568,1000,,,,,,,,,,
,,,,,6999,-234.21227,1000,,,,,,,,,,
,,,,,7999,-221.03566,1000,,,,,,,,,,
,,,,,8999,-192.43681,1000,,,,,,,,,,
,,,,,9999,-276.55045,1000,,,,,,,,,,
-234.2107,33.383778,-198.01173,-322.8741,1000.0,10000,,,-0.342667818069458,3.762197494506836,0.41839298605918884,-0.019886041060090065,0.0518137589097023,0.09999999403953552,0.96858811378479,0.0003,0.0003,0.09999001026153564
,,,,,10999,-226.57686,1000,,,,,,,,,,
,,,,,11000,,,-1.870575189590454,1.9434996843338013,0.4400283396244049,1.1738723516464233,1.1885240077972412,0.09074972569942474,0.717902660369873,0.0003,0.0003,0.09074126183986664
,,,,,11999,-204.1521,1000,,,,,,,,,,
,,,,,12000,,,-3.1213526725769043,2.5227038860321045,0.6630454063415527,2.605402708053589,2.6514525413513184,0.08251003175973892,0.7024563550949097,0.0003,0.0003,0.08250238001346588
,,,,,12999,-230.85368,1000,,,,,,,,,,
,,,,,13000,,,-4.704488754272461,1.6137908697128296,0.8322736024856567,3.9571104049682617,3.9287548065185547,0.07545144110918045,0.5671118497848511,0.0003,0.0003,0.07544495165348053
,,,,,13999,-195.20358,1000,,,,,,,,,,
,,,,,14000,,,-7.05142879486084,1.009952425956726,0.6388617753982544,6.141142845153809,6.1052045822143555,0.06928253918886185,0.4802439212799072,0.0003,0.0003,0.0692766085267067
,,,,,14999,-218.36531,1000,,,,,,,,,,
-165.48074,25.703684,-118.881935,-202.13441,1000.0,15000,,,-8.757476806640625,1.0328460931777954,0.5722233057022095,8.017929077148438,8.035581588745117,0.06358164548873901,0.44934114813804626,0.0003,0.0003,0.0635760948061943
,,,,,15999,-132.72197,1000,,,,,,,,,,
,,,,,16000,,,-10.77685546875,0.743921160697937,0.45706984400749207,9.972440719604492,10.004039764404297,0.05827604979276657,0.38257479667663574,0.0003,0.0003,0.05827099084854126
,,,,,16999,-13.860508,1000,,,,,,,,,,
,,,,,17000,,,-12.586469650268555,0.6209073066711426,0.3689417839050293,11.824119567871094,11.794078826904297,0.05340897664427757,0.34167057275772095,0.0003,0.0003,0.05340433120727539
,,,,,17999,342.97266,1000,,,,,,,,,,
,,,,,18000,,,-13.400568008422852,0.3529928922653198,0.4287603199481964,12.717964172363281,12.872821807861328,0.04898563399910927,0.302746444940567,0.0003,0.0003,0.048981454223394394
,,,,,18999,851.3051,1000,,,,,,,,,,
,,,,,19000,,,-17.35401725769043,-0.5621261596679688,0.4124717116355896,16.606435775756836,16.608394622802734,0.04504881054162979,0.2466188371181488,0.0003,0.0003,0.04504517838358879
,,,,,19999,826.9464,1000,,,,,,,,,,
1037.865,40.734215,1081.7284,944.4665,1000.0,20000,,,-18.933454513549805,-1.2482874393463135,0.43559539318084717,18.116455078125,18.06446075439453,0.04159286245703697,0.1979859471321106,0.0003,0.0003,0.04158956930041313
,,,,,20999,1132.1578,1000,,,,,,,,,,
,,,,,21000,,,-23.494712829589844,-2.3990349769592285,0.3992583155632019,22.545944213867188,22.60988998413086,0.03857548162341118,0.14156700670719147,0.0003,0.0003,0.03857263922691345
,,,,,21999,1180.7737,1000,,,,,,,,,,
,,,,,22000,,,-27.482690811157227,-2.7453160285949707,0.3727266192436218,26.423370361328125,26.392505645751953,0.035863008350133896,0.1239037811756134,0.0003,0.0003,0.035860441625118256
,,,,,22999,1368.2495,1000,,,,,,,,,,
,,,,,23000,,,-31.349178314208984,-3.4914069175720215,0.49468162655830383,30.326236724853516,30.440792083740234,0.03341921791434288,0.0848526805639267,0.0003,0.0003,0.033416811376810074
,,,,,23999,1497.1511,1000,,,,,,,,,,
,,,,,24000,,,-35.788814544677734,-3.8807373046875,0.4830380380153656,34.664939880371094,34.68795394897461,0.031163068488240242,0.0660281628370285,0.0003,0.0003,0.031161002814769745
,,,,,24999,1582.1914,1000,,,,,,,,,,
1574.6985,37.23605,1642.8196,1503.9259,1000.0,25000,,,-41.82110595703125,-4.097321510314941,0.43207716941833496,40.73283386230469,40.6605339050293,0.02922120876610279,0.04605266451835632,0.0003,0.0003,0.02921936847269535
,,,,,25999,1541.9823,1000,,,,,,,,,,
,,,,,26000,,,-45.48139953613281,-4.871220588684082,0.5007448196411133,44.371734619140625,44.34681701660156,0.02757813222706318,0.03062482364475727,0.0003,0.0003,0.027576515451073647
,,,,,26999,1700.3829,1000,,,,,,,,,,
,,,,,27000,,,-52.51416015625,-5.324871063232422,0.48496580123901367,51.34831619262695,51.42262268066406,0.026042578741908073,0.02559472620487213,0.0003,0.0003,0.02604084089398384
,,,,,27999,1885.5804,1000,,,,,,,,,,
,,,,,28000,,,-55.544921875,-5.3675947189331055,0.48271626234054565,54.41885757446289,54.33096694946289,0.02456064336001873,0.021400438621640205,0.0003,0.0003,0.024559086188673973
,,,,,28999,2104.43,1000,,,,,,,,,,
,,,,,29000,,,-62.11759567260742,-5.578168869018555,0.46377211809158325,61.015384674072266,61.03123474121094,0.02336973324418068,0.005142440088093281,0.0003,0.0003,0.023368751630187035
,,,,,29999,2267.5696,1000,,,,,,,,,,
2236.9321,32.473133,2280.9004,2177.0986,1000.0,30000,,,-68.70013427734375,-6.281956672668457,0.5224243402481079,67.43921661376953,67.36076354980469,0.02277873083949089,-0.002600558567792177,0.0003,0.0003,0.022778915241360664
,,,,,30999,2252.8904,1000,,,,,,,,,,
,,,,,31000,,,-74.05903625488281,-6.095701217651367,0.4433524012565613,72.7911376953125,72.6982421875,0.023227186873555183,-0.0044476245529949665,0.0003,0.0003,0.023228006437420845
,,,,,31999,2201.605,1000,,,,,,,,,,
,,,,,32000,,,-80.25865173339844,-5.959768295288086,0.4937480092048645,78.93357849121094,79.041015625,0.0247311070561409,-0.0036379238590598106,0.0003,0.0003,0.02473321184515953
