Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,1038,3.0,3,,,,,,
,,,,,1042,4.0,4,,,,,,
,,,,,1045,3.0,3,,,,,,
,,,,,1063,18.0,18,,,,,,
,,,,,1076,13.0,13,,,,,,
,,,,,1083,7.0,7,,,,,,
,,,,,1087,4.0,4,,,,,,
,,,,,1090,3.0,3,,,,,,
,,,,,1093,3.0,3,,,,,,
,,,,,1106,13.0,13,,,,,,
,,,,,1111,5.0,5,,,,,,
,,,,,1118,7.0,7,,,,,,
,,,,,1123,5.0,5,,,,,,
,,,,,1130,7.0,7,,,,,,
,,,,,1134,4.0,4,,,,,,
,,,,,1138,4.0,4,,,,,,
,,,,,1149,11.0,11,,,,,,
,,,,,1152,3.0,3,,,,,,
,,,,,1155,3.0,3,,,,,,
,,,,,1158,3.0,3,,,,,,
,,,,,1165,7.0,7,,,,,,
,,,,,1168,3.0,3,,,,,,
,,,,,1171,3.0,3,,,,,,
,,,,,1175,4.0,4,,,,,,
,,,,,1180,5.0,5,,,,,,
,,,,,1183,3.0,3,,,,,,
,,,,,1186,3.0,3,,,,,,
,,,,,1190,4.0,4,,,,,,
,,,,,1198,8.0,8,,,,,,
,,,,,1202,4.0,4,,,,,,
,,,,,1205,3.0,3,,,,,,
,,,,,1208,3.0,3,,,,,,
,,,,,1218,10.0,10,,,,,,
,,,,,1229,11.0,11,,,,,,
,,,,,1242,13.0,13,,,,,,
,,,,,1251,9.0,9,,,,,,
,,,,,1260,9.0,9,,,,,,
,,,,,1265,5.0,5,,,,,,
,,,,,1271,6.0,6,,,,,,
,,,,,1274,3.0,3,,,,,,
,,,,,1279,5.0,5,,,,,,
,,,,,1292,13.0,13,,,,,,
,,,,,1297,5.0,5,,,,,,
,,,,,1314,17.0,17,,,,,,
,,,,,1325,11.0,11,,,,,,
,,,,,1330,5.0,5,,,,,,
,,,,,1335,5.0,5,,,,,,
,,,,,1338,3.0,3,,,,,,
,,,,,1343,5.0,5,,,,,,
,,,,,1351,8.0,8,,,,,,
,,,,,1358,7.0,7,,,,,,
,,,,,1369,11.0,11,,,,,,
,,,,,1372,3.0,3,,,,,,
,,,,,1377,5.0,5,,,,,,
,,,,,1386,9.0,9,,,,,,
,,,,,1401,15.0,15,,,,,,
,,,,,1406,5.0,5,,,,,,
,,,,,1418,12.0,12,,,,,,
,,,,,1426,8.0,8,,,,,,
,,,,,1429,3.0,3,,,,,,
,,,,,1433,4.0,4,,,,,,
,,,,,1440,7.0,7,,,,,,
,,,,,1444,4.0,4,,,,,,
,,,,,1451,7.0,7,,,,,,
,,,,,1456,5.0,5,,,,,,
,,,,,1460,4.0,4,,,,,,
,,,,,1467,7.0,7,,,,,,
,,,,,1470,3.0,3,,,,,,
,,,,,1476,6.0,6,,,,,,
,,,,,1479,3.0,3,,,,,,
,,,,,1485,6.0,6,,,,,,
,,,,,1491,6.0,6,,,,,,
,,,,,1494,3.0,3,,,,,,
,,,,,1514,20.0,20,,,,,,
,,,,,1522,8.0,8,,,,,,
,,,,,1527,5.0,5,,,,,,
,,,,,1537,10.0,10,,,,,,
,,,,,1542,5.0,5,,,,,,
,,,,,1558,16.0,16,,,,,,
,,,,,1561,3.0,3,,,,,,
,,,,,1568,7.0,7,,,,,,
,,,,,1571,3.0,3,,,,,,
,,,,,1579,8.0,8,,,,,,
,,,,,1583,4.0,4,,,,,,
,,,,,1588,5.0,5,,,,,,
,,,,,1597,9.0,9,,,,,,
,,,,,1601,4.0,4,,,,,,
,,,,,1605,4.0,4,,,,,,
,,,,,1608,3.0,3,,,,,,
,,,,,1614,6.0,6,,,,,,
,,,,,1619,5.0,5,,,,,,
,,,,,1623,4.0,4,,,,,,
,,,,,1637,14.0,14,,,,,,
,,,,,1653,16.0,16,,,,,,
,,,,,1658,5.0,5,,,,,,
,,,,,1663,5.0,5,,,,,,
,,,,,1668,5.0,5,,,,,,
,,,,,1673,5.0,5,,,,,,
,,,,,1684,11.0,11,,,,,,
,,,,,1690,6.0,6,,,,,,
,,,,,1698,8.0,8,,,,,,
,,,,,1703,5.0,5,,,,,,
,,,,,1708,5.0,5,,,,,,
,,,,,1717,9.0,9,,,,,,
,,,,,1722,5.0,5,,,,,,
,,,,,1730,8.0,8,,,,,,
,,,,,1743,13.0,13,,,,,,
,,,,,1750,7.0,7,,,,,,
,,,,,1757,7.0,7,,,,,,
,,,,,1762,5.0,5,,,,,,
,,,,,1766,4.0,4,,,,,,
,,,,,1771,5.0,5,,,,,,
,,,,,1774,3.0,3,,,,,,
,,,,,1779,5.0,5,,,,,,
,,,,,1800,21.0,21,,,,,,
,,,,,1803,3.0,3,,,,,,
,,,,,1807,4.0,4,,,,,,
,,,,,1811,4.0,4,,,,,,
,,,,,1818,7.0,7,,,,,,
,,,,,1823,5.0,5,,,,,,
,,,,,1826,3.0,3,,,,,,
,,,,,1834,8.0,8,,,,,,
,,,,,1856,22.0,22,,,,,,
,,,,,1859,3.0,3,,,,,,
,,,,,1863,4.0,4,,,,,,
,,,,,1867,4.0,4,,,,,,
,,,,,1875,8.0,8,,,,,,
,,,,,1890,15.0,15,,,,,,
,,,,,1895,5.0,5,,,,,,
,,,,,1906,11.0,11,,,,,,
,,,,,1911,5.0,5,,,,,,
,,,,,1914,3.0,3,,,,,,
,,,,,1924,10.0,10,,,,,,
,,,,,1932,8.0,8,,,,,,
,,,,,1937,5.0,5,,,,,,
,,,,,1940,3.0,3,,,,,,
,,,,,1948,8.0,8,,,,,,
,,,,,1958,10.0,10,,,,,,
,,,,,1965,7.0,7,,,,,,
,,,,,1969,4.0,4,,,,,,
,,,,,1972,3.0,3,,,,,,
,,,,,1991,19.0,19,,,,,,
,,,,,1994,3.0,3,,,,,,
,,,,,1998,4.0,4,,,,,,
,,,,,2002,4.0,4,,,,,,
,,,,,2007,5.0,5,,,,,,
,,,,,2011,4.0,4,,,,,,
,,,,,2017,6.0,6,,,,,,
,,,,,2025,8.0,8,,,,,,
,,,,,2029,4.0,4,,,,,,
,,,,,2038,9.0,9,,,,,,
,,,,,2051,13.0,13,,,,,,
,,,,,2079,28.0,28,,,,,,
,,,,,2093,14.0,14,,,,,,
,,,,,2100,7.0,7,,,,,,
,,,,,2108,8.0,8,,,,,,
,,,,,2114,6.0,6,,,,,,
,,,,,2120,6.0,6,,,,,,
,,,,,2129,9.0,9,,,,,,
,,,,,2136,7.0,7,,,,,,
,,,,,2152,16.0,16,,,,,,
,,,,,2156,4.0,4,,,,,,
,,,,,2163,7.0,7,,,,,,
,,,,,2172,9.0,9,,,,,,
,,,,,2179,7.0,7,,,,,,
,,,,,2185,6.0,6,,,,,,
,,,,,2199,14.0,14,,,,,,
,,,,,2203,4.0,4,,,,,,
,,,,,2208,5.0,5,,,,,,
,,,,,2214,6.0,6,,,,,,
,,,,,2220,6.0,6,,,,,,
,,,,,2225,5.0,5,,,,,,
,,,,,2236,11.0,11,,,,,,
,,,,,2243,7.0,7,,,,,,
,,,,,2256,13.0,13,,,,,,
,,,,,2259,3.0,3,,,,,,
,,,,,2266,7.0,7,,,,,,
,,,,,2269,3.0,3,,,,,,
,,,,,2279,10.0,10,,,,,,
,,,,,2285,6.0,6,,,,,,
,,,,,2291,6.0,6,,,,,,
,,,,,2298,7.0,7,,,,,,
,,,,,2303,5.0,5,,,,,,
,,,,,2307,4.0,4,,,,,,
,,,,,2312,5.0,5,,,,,,
,,,,,2322,10.0,10,,,,,,
,,,,,2330,8.0,8,,,,,,
,,,,,2341,11.0,11,,,,,,
,,,,,2352,11.0,11,,,,,,
,,,,,2357,5.0,5,,,,,,
,,,,,2361,4.0,4,,,,,,
,,,,,2365,4.0,4,,,,,,
,,,,,2369,4.0,4,,,,,,
,,,,,2373,4.0,4,,,,,,
,,,,,2377,4.0,4,,,,,,
,,,,,2387,10.0,10,,,,,,
,,,,,2394,7.0,7,,,,,,
,,,,,2397,3.0,3,,,,,,
,,,,,2400,3.0,3,,,,,,
,,,,,2408,8.0,8,,,,,,
,,,,,2419,11.0,11,,,,,,
,,,,,2422,3.0,3,,,,,,
,,,,,2431,9.0,9,,,,,,
,,,,,2435,4.0,4,,,,,,
,,,,,2441,6.0,6,,,,,,
,,,,,2444,3.0,3,,,,,,
,,,,,2457,13.0,13,,,,,,
,,,,,2467,10.0,10,,,,,,
,,,,,2470,3.0,3,,,,,,
,,,,,2478,8.0,8,,,,,,
,,,,,2482,4.0,4,,,,,,
,,,,,2487,5.0,5,,,,,,
,,,,,2491,4.0,4,,,,,,
,,,,,2496,5.0,5,,,,,,
