Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,4729,11.0,11,,,,,,
,,,,,4733,4.0,4,,,,,,
,,,,,4738,5.0,5,,,,,,
,,,,,4748,10.0,10,,,,,,
,,,,,4754,6.0,6,,,,,,
,,,,,4768,14.0,14,,,,,,
,,,,,4776,8.0,8,,,,,,
,,,,,4784,8.0,8,,,,,,
,,,,,4792,8.0,8,,,,,,
,,,,,4798,6.0,6,,,,,,
,,,,,4805,7.0,7,,,,,,
,,,,,4815,10.0,10,,,,,,
,,,,,4840,25.0,25,,,,,,
,,,,,4844,4.0,4,,,,,,
,,,,,4852,8.0,8,,,,,,
,,,,,4856,4.0,4,,,,,,
,,,,,4860,4.0,4,,,,,,
,,,,,4873,13.0,13,,,,,,
,,,,,4885,12.0,12,,,,,,
,,,,,4892,7.0,7,,,,,,
,,,,,4899,7.0,7,,,,,,
,,,,,4904,5.0,5,,,,,,
,,,,,4913,9.0,9,,,,,,
,,,,,4917,4.0,4,,,,,,
,,,,,4924,7.0,7,,,,,,
,,,,,4930,6.0,6,,,,,,
,,,,,4933,3.0,3,,,,,,
,,,,,4937,4.0,4,,,,,,
,,,,,4942,5.0,5,,,,,,
,,,,,4945,3.0,3,,,,,,
,,,,,4952,7.0,7,,,,,,
,,,,,4957,5.0,5,,,,,,
,,,,,4960,3.0,3,,,,,,
,,,,,4971,11.0,11,,,,,,
,,,,,4985,14.0,14,,,,,,
,,,,,4994,9.0,9,,,,,,
,,,,,4998,4.0,4,,,,,,
6.0,2.236068,10.0,3.0,6.0,5000,,,0.9800450205802917,0.0588647723197937,1.0479736328125,0.0003,0.0003,0.1
,,,,,5002,4.0,4,,,,,,
,,,,,5013,11.0,11,,,,,,
,,,,,5021,8.0,8,,,,,,
,,,,,5026,5.0,5,,,,,,
,,,,,5031,5.0,5,,,,,,
,,,,,5036,5.0,5,,,,,,
,,,,,5043,7.0,7,,,,,,
,,,,,5053,10.0,10,,,,,,
,,,,,5058,5.0,5,,,,,,
,,,,,5062,4.0,4,,,,,,
,,,,,5065,3.0,3,,,,,,
,,,,,5069,4.0,4,,,,,,
,,,,,5073,4.0,4,,,,,,
,,,,,5081,8.0,8,,,,,,
,,,,,5085,4.0,4,,,,,,
,,,,,5089,4.0,4,,,,,,
,,,,,5093,4.0,4,,,,,,
,,,,,5097,4.0,4,,,,,,
,,,,,5104,7.0,7,,,,,,
,,,,,5109,5.0,5,,,,,,
,,,,,5114,5.0,5,,,,,,
,,,,,5122,8.0,8,,,,,,
,,,,,5149,27.0,27,,,,,,
,,,,,5153,4.0,4,,,,,,
,,,,,5157,4.0,4,,,,,,
,,,,,5161,4.0,4,,,,,,
,,,,,5165,4.0,4,,,,,,
,,,,,5169,4.0,4,,,,,,
,,,,,5172,3.0,3,,,,,,
,,,,,5176,4.0,4,,,,,,
,,,,,5184,8.0,8,,,,,,
,,,,,5191,7.0,7,,,,,,
,,,,,5194,3.0,3,,,,,,
,,,,,5201,7.0,7,,,,,,
,,,,,5204,3.0,3,,,,,,
,,,,,5208,4.0,4,,,,,,
,,,,,5215,7.0,7,,,,,,
,,,,,5221,6.0,6,,,,,,
,,,,,5228,7.0,7,,,,,,
,,,,,5231,3.0,3,,,,,,
,,,,,5234,3.0,3,,,,,,
,,,,,5240,6.0,6,,,,,,
,,,,,5254,14.0,14,,,,,,
,,,,,5257,3.0,3,,,,,,
,,,,,5269,12.0,12,,,,,,
,,,,,5274,5.0,5,,,,,,
,,,,,5284,10.0,10,,,,,,
,,,,,5288,4.0,4,,,,,,
,,,,,5293,5.0,5,,,,,,
,,,,,5309,16.0,16,,,,,,
,,,,,5314,5.0,5,,,,,,
,,,,,5318,4.0,4,,,,,,
,,,,,5321,3.0,3,,,,,,
,,,,,5327,6.0,6,,,,,,
,,,,,5334,7.0,7,,,,,,
,,,,,5337,3.0,3,,,,,,
,,,,,5342,5.0,5,,,,,,
,,,,,5350,8.0,8,,,,,,
,,,,,5355,5.0,5,,,,,,
,,,,,5363,8.0,8,,,,,,
,,,,,5377,14.0,14,,,,,,
,,,,,5381,4.0,4,,,,,,
,,,,,5385,4.0,4,,,,,,
,,,,,5395,10.0,10,,,,,,
,,,,,5403,8.0,8,,,,,,
,,,,,5407,4.0,4,,,,,,
,,,,,5410,3.0,3,,,,,,
,,,,,5423,13.0,13,,,,,,
,,,,,5432,9.0,9,,,,,,
,,,,,5436,4.0,4,,,,,,
,,,,,5445,9.0,9,,,,,,
,,,,,5453,8.0,8,,,,,,
,,,,,5459,6.0,6,,,,,,
,,,,,5462,3.0,3,,,,,,
,,,,,5469,7.0,7,,,,,,
,,,,,5474,5.0,5,,,,,,
,,,,,5481,7.0,7,,,,,,
,,,,,5484,3.0,3,,,,,,
,,,,,5487,3.0,3,,,,,,
,,,,,5494,7.0,7,,,,,,
,,,,,5503,9.0,9,,,,,,
,,,,,5516,13.0,13,,,,,,
,,,,,5522,6.0,6,,,,,,
,,,,,5526,4.0,4,,,,,,
,,,,,5529,3.0,3,,,,,,
,,,,,5534,5.0,5,,,,,,
,,,,,5543,9.0,9,,,,,,
,,,,,5553,10.0,10,,,,,,
,,,,,5558,5.0,5,,,,,,
,,,,,5564,6.0,6,,,,,,
,,,,,5570,6.0,6,,,,,,
,,,,,5575,5.0,5,,,,,,
,,,,,5583,8.0,8,,,,,,
,,,,,5587,4.0,4,,,,,,
,,,,,5599,12.0,12,,,,,,
,,,,,5603,4.0,4,,,,,,
,,,,,5609,6.0,6,,,,,,
,,,,,5619,10.0,10,,,,,,
,,,,,5627,8.0,8,,,,,,
,,,,,5633,6.0,6,,,,,,
,,,,,5636,3.0,3,,,,,,
,,,,,5640,4.0,4,,,,,,
,,,,,5647,7.0,7,,,,,,
,,,,,5655,8.0,8,,,,,,
,,,,,5662,7.0,7,,,,,,
,,,,,5667,5.0,5,,,,,,
,,,,,5671,4.0,4,,,,,,
,,,,,5684,13.0,13,,,,,,
,,,,,5703,19.0,19,,,,,,
,,,,,5707,4.0,4,,,,,,
,,,,,5712,5.0,5,,,,,,
,,,,,5719,7.0,7,,,,,,
,,,,,5726,7.0,7,,,,,,
,,,,,5736,10.0,10,,,,,,
,,,,,5742,6.0,6,,,,,,
,,,,,5748,6.0,6,,,,,,
,,,,,5751,3.0,3,,,,,,
,,,,,5754,3.0,3,,,,,,
,,,,,5758,4.0,4,,,,,,
,,,,,5765,7.0,7,,,,,,
,,,,,5771,6.0,6,,,,,,
,,,,,5774,3.0,3,,,,,,
,,,,,5778,4.0,4,,,,,,
,,,,,5791,13.0,13,,,,,,
,,,,,5800,9.0,9,,,,,,
,,,,,5808,8.0,8,,,,,,
,,,,,5815,7.0,7,,,,,,
,,,,,5820,5.0,5,,,,,,
,,,,,5829,9.0,9,,,,,,
,,,,,5833,4.0,4,,,,,,
,,,,,5838,5.0,5,,,,,,
,,,,,5851,13.0,13,,,,,,
,,,,,5854,3.0,3,,,,,,
,,,,,5864,10.0,10,,,,,,
,,,,,5867,3.0,3,,,,,,
,,,,,5879,12.0,12,,,,,,
,,,,,5893,14.0,14,,,,,,
,,,,,5897,4.0,4,,,,,,
,,,,,5900,3.0,3,,,,,,
,,,,,5904,4.0,4,,,,,,
,,,,,5918,14.0,14,,,,,,
,,,,,5938,20.0,20,,,,,,
,,,,,5946,8.0,8,,,,,,
,,,,,5950,4.0,4,,,,,,
,,,,,5959,9.0,9,,,,,,
,,,,,5971,12.0,12,,,,,,
,,,,,5975,4.0,4,,,,,,
,,,,,5986,11.0,11,,,,,,
,,,,,6000,,,0.4747013747692108,3.66934871673584,3.729221820831299,0.0003,0.0003,0.1
,,,,,6002,16.0,16,,,,,,
,,,,,6006,4.0,4,,,,,,
,,,,,6013,7.0,7,,,,,,
,,,,,6023,10.0,10,,,,,,
,,,,,6029,6.0,6,,,,,,
,,,,,6032,3.0,3,,,,,,
,,,,,6039,7.0,7,,,,,,
,,,,,6042,3.0,3,,,,,,
,,,,,6058,16.0,16,,,,,,
,,,,,6064,6.0,6,,,,,,
,,,,,6067,3.0,3,,,,,,
,,,,,6070,3.0,3,,,,,,
,,,,,6075,5.0,5,,,,,,
,,,,,6081,6.0,6,,,,,,
,,,,,6085,4.0,4,,,,,,
,,,,,6091,6.0,6,,,,,,
,,,,,6107,16.0,16,,,,,,
,,,,,6111,4.0,4,,,,,,
,,,,,6116,5.0,5,,,,,,
,,,,,6127,11.0,11,,,,,,
,,,,,6132,5.0,5,,,,,,
,,,,,6136,4.0,4,,,,,,
,,,,,6148,12.0,12,,,,,,
,,,,,6152,4.0,4,,,,,,
,,,,,6158,6.0,6,,,,,,
,,,,,6163,5.0,5,,,,,,
,,,,,6167,4.0,4,,,,,,
,,,,,6182,15.0,15,,,,,,
,,,,,6186,4.0,4,,,,,,
,,,,,6191,5.0,5,,,,,,
,,,,,6202,11.0,11,,,,,,
,,,,,6211,9.0,9,,,,,,
,,,,,6215,4.0,4,,,,,,
,,,,,6224,9.0,9,,,,,,
,,,,,6230,6.0,6,,,,,,
,,,,,6236,6.0,6,,,,,,
,,,,,6243,7.0,7,,,,,,
,,,,,6257,14.0,14,,,,,,
,,,,,6262,5.0,5,,,,,,
,,,,,6266,4.0,4,,,,,,
,,,,,6269,3.0,3,,,,,,
,,,,,6278,9.0,9,,,,,,
,,,,,6283,5.0,5,,,,,,
,,,,,6289,6.0,6,,,,,,
,,,,,6297,8.0,8,,,,,,
,,,,,6300,3.0,3,,,,,,
,,,,,6305,5.0,5,,,,,,
,,,,,6319,14.0,14,,,,,,
,,,,,6334,15.0,15,,,,,,
,,,,,6337,3.0,3,,,,,,
,,,,,6344,7.0,7,,,,,,
,,,,,6348,4.0,4,,,,,,
,,,,,6355,7.0,7,,,,,,
,,,,,6364,9.0,9,,,,,,
,,,,,6368,4.0,4,,,,,,
,,,,,6374,6.0,6,,,,,,
,,,,,6387,13.0,13,,,,,,
,,,,,6396,9.0,9,,,,,,
,,,,,6405,9.0,9,,,,,,
,,,,,6412,7.0,7,,,,,,
,,,,,6423,11.0,11,,,,,,
,,,,,6431,8.0,8,,,,,,
,,,,,6436,5.0,5,,,,,,
,,,,,6440,4.0,4,,,,,,
,,,,,6445,5.0,5,,,,,,
,,,,,6450,5.0,5,,,,,,
,,,,,6454,4.0,4,,,,,,
,,,,,6463,9.0,9,,,,,,
,,,,,6468,5.0,5,,,,,,
,,,,,6475,7.0,7,,,,,,
,,,,,6482,7.0,7,,,,,,
,,,,,6488,6.0,6,,,,,,
,,,,,6492,4.0,4,,,,,,
,,,,,6500,8.0,8,,,,,,
,,,,,6515,15.0,15,,,,,,
,,,,,6518,3.0,3,,,,,,
,,,,,6523,5.0,5,,,,,,
,,,,,6538,15.0,15,,,,,,
,,,,,6545,7.0,7,,,,,,
,,,,,6553,8.0,8,,,,,,
,,,,,6556,3.0,3,,,,,,
,,,,,6563,7.0,7,,,,,,
,,,,,6567,4.0,4,,,,,,
,,,,,6571,4.0,4,,,,,,
,,,,,6575,4.0,4,,,,,,
,,,,,6590,15.0,15,,,,,,
,,,,,6599,9.0,9,,,,,,
,,,,,6604,5.0,5,,,,,,
,,,,,6608,4.0,4,,,,,,
,,,,,6618,10.0,10,,,,,,
,,,,,6621,3.0,3,,,,,,
,,,,,6627,6.0,6,,,,,,
,,,,,6644,17.0,17,,,,,,
,,,,,6648,4.0,4,,,,,,
,,,,,6660,12.0,12,,,,,,
,,,,,6665,5.0,5,,,,,,
,,,,,6674,9.0,9,,,,,,
,,,,,6679,5.0,5,,,,,,
,,,,,6687,8.0,8,,,,,,
,,,,,6691,4.0,4,,,,,,
,,,,,6700,9.0,9,,,,,,
,,,,,6704,4.0,4,,,,,,
,,,,,6711,7.0,7,,,,,,
,,,,,6714,3.0,3,,,,,,
,,,,,6723,9.0,9,,,,,,
,,,,,6729,6.0,6,,,,,,
,,,,,6733,4.0,4,,,,,,
,,,,,6736,3.0,3,,,,,,
,,,,,6745,9.0,9,,,,,,
,,,,,6750,5.0,5,,,,,,
,,,,,6755,5.0,5,,,,,,
,,,,,6769,14.0,14,,,,,,
,,,,,6772,3.0,3,,,,,,
,,,,,6776,4.0,4,,,,,,
,,,,,6785,9.0,9,,,,,,
,,,,,6789,4.0,4,,,,,,
,,,,,6796,7.0,7,,,,,,
,,,,,6805,9.0,9,,,,,,
,,,,,6808,3.0,3,,,,,,
,,,,,6811,3.0,3,,,,,,
,,,,,6818,7.0,7,,,,,,
,,,,,6823,5.0,5,,,,,,
,,,,,6827,4.0,4,,,,,,
,,,,,6837,10.0,10,,,,,,
,,,,,6847,10.0,10,,,,,,
,,,,,6857,10.0,10,,,,,,
,,,,,6860,3.0,3,,,,,,
,,,,,6864,4.0,4,,,,,,
,,,,,6869,5.0,5,,,,,,
,,,,,6876,7.0,7,,,,,,
,,,,,6880,4.0,4,,,,,,
,,,,,6885,5.0,5,,,,,,
,,,,,6891,6.0,6,,,,,,
,,,,,6896,5.0,5,,,,,,
,,,,,6899,3.0,3,,,,,,
,,,,,6904,5.0,5,,,,,,
,,,,,6910,6.0,6,,,,,,
,,,,,6914,4.0,4,,,,,,
,,,,,6919,5.0,5,,,,,,
,,,,,6922,3.0,3,,,,,,
,,,,,6925,3.0,3,,,,,,
,,,,,6932,7.0,7,,,,,,
,,,,,6937,5.0,5,,,,,,
,,,,,6940,3.0,3,,,,,,
,,,,,6948,8.0,8,,,,,,
,,,,,6960,12.0,12,,,,,,
,,,,,6965,5.0,5,,,,,,
,,,,,6969,4.0,4,,,,,,
,,,,,6974,5.0,5,,,,,,
,,,,,6978,4.0,4,,,,,,
,,,,,6990,12.0,12,,,,,,
,,,,,6997,7.0,7,,,,,,
,,,,,7000,3.0,3,,,,,,
,,,,,7000,,,1.2667948007583618,5.046026229858398,5.078795909881592,0.0003,0.0003,0.1
,,,,,7008,8.0,8,,,,,,
,,,,,7023,15.0,15,,,,,,
,,,,,7027,4.0,4,,,,,,
,,,,,7030,3.0,3,,,,,,
,,,,,7033,3.0,3,,,,,,
,,,,,7039,6.0,6,,,,,,
,,,,,7043,4.0,4,,,,,,
,,,,,7046,3.0,3,,,,,,
,,,,,7049,3.0,3,,,,,,
,,,,,7059,10.0,10,,,,,,
,,,,,7065,6.0,6,,,,,,
,,,,,7068,3.0,3,,,,,,
,,,,,7074,6.0,6,,,,,,
,,,,,7083,9.0,9,,,,,,
,,,,,7087,4.0,4,,,,,,
,,,,,7101,14.0,14,,,,,,
,,,,,7112,11.0,11,,,,,,
,,,,,7115,3.0,3,,,,,,
,,,,,7122,7.0,7,,,,,,
,,,,,7125,3.0,3,,,,,,
,,,,,7128,3.0,3,,,,,,
,,,,,7138,10.0,10,,,,,,
,,,,,7141,3.0,3,,,,,,
,,,,,7151,10.0,10,,,,,,
,,,,,7155,4.0,4,,,,,,
,,,,,7159,4.0,4,,,,,,
,,,,,7162,3.0,3,,,,,,
,,,,,7166,4.0,4,,,,,,
,,,,,7173,7.0,7,,,,,,
,,,,,7177,4.0,4,,,,,,
,,,,,7189,12.0,12,,,,,,
,,,,,7192,3.0,3,,,,,,
,,,,,7200,8.0,8,,,,,,
,,,,,7207,7.0,7,,,,,,
,,,,,7211,4.0,4,,,,,,
,,,,,7216,5.0,5,,,,,,
,,,,,7222,6.0,6,,,,,,
,,,,,7227,5.0,5,,,,,,
,,,,,7237,10.0,10,,,,,,
,,,,,7241,4.0,4,,,,,,
,,,,,7245,4.0,4,,,,,,
,,,,,7251,6.0,6,,,,,,
,,,,,7260,9.0,9,,,,,,
,,,,,7263,3.0,3,,,,,,
,,,,,7269,6.0,6,,,,,,
,,,,,7274,5.0,5,,,,,,
,,,,,7289,15.0,15,,,,,,
,,,,,7295,6.0,6,,,,,,
,,,,,7301,6.0,6,,,,,,
,,,,,7304,3.0,3,,,,,,
,,,,,7307,3.0,3,,,,,,
,,,,,7312,5.0,5,,,,,,
,,,,,7321,9.0,9,,,,,,
,,,,,7326,5.0,5,,,,,,
,,,,,7332,6.0,6,,,,,,
,,,,,7341,9.0,9,,,,,,
,,,,,7346,5.0,5,,,,,,
,,,,,7351,5.0,5,,,,,,
,,,,,7357,6.0,6,,,,,,
,,,,,7360,3.0,3,,,,,,
,,,,,7364,4.0,4,,,,,,
,,,,,7376,12.0,12,,,,,,
,,,,,7380,4.0,4,,,,,,
,,,,,7385,5.0,5,,,,,,
,,,,,7401,16.0,16,,,,,,
,,,,,7411,10.0,10,,,,,,
,,,,,7419,8.0,8,,,,,,
,,,,,7423,4.0,4,,,,,,
,,,,,7427,4.0,4,,,,,,
,,,,,7436,9.0,9,,,,,,
,,,,,7439,3.0,3,,,,,,
,,,,,7444,5.0,5,,,,,,
,,,,,7450,6.0,6,,,,,,
,,,,,7453,3.0,3,,,,,,
,,,,,7461,8.0,8,,,,,,
,,,,,7465,4.0,4,,,,,,
,,,,,7474,9.0,9,,,,,,
,,,,,7480,6.0,6,,,,,,
,,,,,7490,10.0,10,,,,,,
,,,,,7495,5.0,5,,,,,,
,,,,,7499,4.0,4,,,,,,
,,,,,7506,7.0,7,,,,,,
,,,,,7511,5.0,5,,,,,,
,,,,,7520,9.0,9,,,,,,
,,,,,7525,5.0,5,,,,,,
,,,,,7529,4.0,4,,,,,,
,,,,,7533,4.0,4,,,,,,
,,,,,7541,8.0,8,,,,,,
,,,,,7547,6.0,6,,,,,,
,,,,,7553,6.0,6,,,,,,
,,,,,7556,3.0,3,,,,,,
,,,,,7562,6.0,6,,,,,,
,,,,,7576,14.0,14,,,,,,
,,,,,7583,7.0,7,,,,,,
,,,,,7597,14.0,14,,,,,,
,,,,,7602,5.0,5,,,,,,
,,,,,7617,15.0,15,,,,,,
,,,,,7622,5.0,5,,,,,,
,,,,,7630,8.0,8,,,,,,
,,,,,7637,7.0,7,,,,,,
,,,,,7642,5.0,5,,,,,,
,,,,,7647,5.0,5,,,,,,
,,,,,7653,6.0,6,,,,,,
,,,,,7658,5.0,5,,,,,,
,,,,,7661,3.0,3,,,,,,
,,,,,7667,6.0,6,,,,,,
,,,,,7674,7.0,7,,,,,,
,,,,,7678,4.0,4,,,,,,
,,,,,7681,3.0,3,,,,,,
,,,,,7685,4.0,4,,,,,,
,,,,,7688,3.0,3,,,,,,
,,,,,7697,9.0,9,,,,,,
,,,,,7702,5.0,5,,,,,,
,,,,,7707,5.0,5,,,,,,
,,,,,7723,16.0,16,,,,,,
,,,,,7726,3.0,3,,,,,,
,,,,,7731,5.0,5,,,,,,
,,,,,7734,3.0,3,,,,,,
,,,,,7738,4.0,4,,,,,,
,,,,,7741,3.0,3,,,,,,
,,,,,7745,4.0,4,,,,,,
,,,,,7751,6.0,6,,,,,,
,,,,,7754,3.0,3,,,,,,
,,,,,7759,5.0,5,,,,,,
,,,,,7762,3.0,3,,,,,,
,,,,,7766,4.0,4,,,,,,
,,,,,7773,7.0,7,,,,,,
,,,,,7782,9.0,9,,,,,,
,,,,,7804,22.0,22,,,,,,
,,,,,7820,16.0,16,,,,,,
,,,,,7823,3.0,3,,,,,,
,,,,,7827,4.0,4,,,,,,
,,,,,7835,8.0,8,,,,,,
,,,,,7845,10.0,10,,,,,,
,,,,,7857,12.0,12,,,,,,
,,,,,7861,4.0,4,,,,,,
,,,,,7866,5.0,5,,,,,,
,,,,,7875,9.0,9,,,,,,
,,,,,7879,4.0,4,,,,,,
,,,,,7889,10.0,10,,,,,,
,,,,,7903,14.0,14,,,,,,
,,,,,7908,5.0,5,,,,,,
,,,,,7918,10.0,10,,,,,,
,,,,,7943,25.0,25,,,,,,
,,,,,7947,4.0,4,,,,,,
,,,,,7952,5.0,5,,,,,,
,,,,,7957,5.0,5,,,,,,
,,,,,7960,3.0,3,,,,,,
,,,,,7968,8.0,8,,,,,,
,,,,,7975,7.0,7,,,,,,
,,,,,7982,7.0,7,,,,,,
,,,,,7992,10.0,10,,,,,,
,,,,,8000,8.0,8,,,,,,
,,,,,8000,,,1.7195987701416016,4.522371292114258,4.432065010070801,0.0003,0.0003,0.1
,,,,,8006,6.0,6,,,,,,
,,,,,8013,7.0,7,,,,,,
,,,,,8016,3.0,3,,,,,,
,,,,,8027,11.0,11,,,,,,
,,,,,8036,9.0,9,,,,,,
,,,,,8040,4.0,4,,,,,,
,,,,,8044,4.0,4,,,,,,
,,,,,8053,9.0,9,,,,,,
,,,,,8067,14.0,14,,,,,,
,,,,,8076,9.0,9,,,,,,
,,,,,8082,6.0,6,,,,,,
,,,,,8088,6.0,6,,,,,,
,,,,,8093,5.0,5,,,,,,
,,,,,8097,4.0,4,,,,,,
,,,,,8100,3.0,3,,,,,,
,,,,,8106,6.0,6,,,,,,
,,,,,8119,13.0,13,,,,,,
,,,,,8127,8.0,8,,,,,,
,,,,,8135,8.0,8,,,,,,
,,,,,8139,4.0,4,,,,,,
,,,,,8144,5.0,5,,,,,,
,,,,,8151,7.0,7,,,,,,
,,,,,8160,9.0,9,,,,,,
,,,,,8164,4.0,4,,,,,,
,,,,,8172,8.0,8,,,,,,
,,,,,8176,4.0,4,,,,,,
,,,,,8191,15.0,15,,,,,,
,,,,,8194,3.0,3,,,,,,
,,,,,8200,6.0,6,,,,,,
,,,,,8204,4.0,4,,,,,,
,,,,,8209,5.0,5,,,,,,
,,,,,8226,17.0,17,,,,,,
,,,,,8229,3.0,3,,,,,,
,,,,,8236,7.0,7,,,,,,
,,,,,8240,4.0,4,,,,,,
,,,,,8246,6.0,6,,,,,,
,,,,,8251,5.0,5,,,,,,
,,,,,8255,4.0,4,,,,,,
,,,,,8268,13.0,13,,,,,,
,,,,,8275,7.0,7,,,,,,
,,,,,8290,15.0,15,,,,,,
,,,,,8294,4.0,4,,,,,,
,,,,,8302,8.0,8,,,,,,
,,,,,8310,8.0,8,,,,,,
,,,,,8314,4.0,4,,,,,,
,,,,,8319,5.0,5,,,,,,
,,,,,8330,11.0,11,,,,,,
,,,,,8334,4.0,4,,,,,,
,,,,,8338,4.0,4,,,,,,
,,,,,8341,3.0,3,,,,,,
,,,,,8345,4.0,4,,,,,,
,,,,,8362,17.0,17,,,,,,
,,,,,8370,8.0,8,,,,,,
,,,,,8375,5.0,5,,,,,,
,,,,,8388,13.0,13,,,,,,
,,,,,8403,15.0,15,,,,,,
,,,,,8408,5.0,5,,,,,,
,,,,,8414,6.0,6,,,,,,
,,,,,8417,3.0,3,,,,,,
,,,,,8423,6.0,6,,,,,,
,,,,,8428,5.0,5,,,,,,
,,,,,8431,3.0,3,,,,,,
,,,,,8436,5.0,5,,,,,,
,,,,,8444,8.0,8,,,,,,
,,,,,8448,4.0,4,,,,,,
,,,,,8459,11.0,11,,,,,,
,,,,,8463,4.0,4,,,,,,
,,,,,8467,4.0,4,,,,,,
,,,,,8473,6.0,6,,,,,,
,,,,,8484,11.0,11,,,,,,
,,,,,8488,4.0,4,,,,,,
,,,,,8496,8.0,8,,,,,,
,,,,,8500,4.0,4,,,,,,
,,,,,8504,4.0,4,,,,,,
,,,,,8511,7.0,7,,,,,,
,,,,,8516,5.0,5,,,,,,
,,,,,8520,4.0,4,,,,,,
,,,,,8527,7.0,7,,,,,,
,,,,,8531,4.0,4,,,,,,
,,,,,8535,4.0,4,,,,,,
,,,,,8555,20.0,20,,,,,,
,,,,,8560,5.0,5,,,,,,
,,,,,8564,4.0,4,,,,,,
,,,,,8572,8.0,8,,,,,,
,,,,,8584,12.0,12,,,,,,
,,,,,8589,5.0,5,,,,,,
,,,,,8597,8.0,8,,,,,,
,,,,,8602,5.0,5,,,,,,
,,,,,8607,5.0,5,,,,,,
,,,,,8611,4.0,4,,,,,,
,,,,,8615,4.0,4,,,,,,
,,,,,8620,5.0,5,,,,,,
,,,,,8641,21.0,21,,,,,,
,,,,,8646,5.0,5,,,,,,
,,,,,8654,8.0,8,,,,,,
,,,,,8663,9.0,9,,,,,,
,,,,,8671,8.0,8,,,,,,
,,,,,8675,4.0,4,,,,,,
,,,,,8682,7.0,7,,,,,,
,,,,,8685,3.0,3,,,,,,
,,,,,8703,18.0,18,,,,,,
,,,,,8706,3.0,3,,,,,,
,,,,,8709,3.0,3,,,,,,
,,,,,8713,4.0,4,,,,,,
,,,,,8717,4.0,4,,,,,,
,,,,,8727,10.0,10,,,,,,
,,,,,8731,4.0,4,,,,,,
,,,,,8734,3.0,3,,,,,,
,,,,,8754,20.0,20,,,,,,
,,,,,8767,13.0,13,,,,,,
,,,,,8774,7.0,7,,,,,,
,,,,,8778,4.0,4,,,,,,
,,,,,8781,3.0,3,,,,,,
,,,,,8785,4.0,4,,,,,,
,,,,,8793,8.0,8,,,,,,
,,,,,8797,4.0,4,,,,,,
,,,,,8805,8.0,8,,,,,,
,,,,,8809,4.0,4,,,,,,
,,,,,8836,27.0,27,,,,,,
,,,,,8844,8.0,8,,,,,,
,,,,,8849,5.0,5,,,,,,
,,,,,8852,3.0,3,,,,,,
,,,,,8856,4.0,4,,,,,,
,,,,,8863,7.0,7,,,,,,
,,,,,8866,3.0,3,,,,,,
,,,,,8872,6.0,6,,,,,,
,,,,,8876,4.0,4,,,,,,
,,,,,8884,8.0,8,,,,,,
,,,,,8894,10.0,10,,,,,,
,,,,,8899,5.0,5,,,,,,
,,,,,8913,14.0,14,,,,,,
,,,,,8918,5.0,5,,,,,,
,,,,,8924,6.0,6,,,,,,
,,,,,8943,19.0,19,,,,,,
,,,,,8946,3.0,3,,,,,,
,,,,,8952,6.0,6,,,,,,
,,,,,8958,6.0,6,,,,,,
,,,,,8962,4.0,4,,,,,,
,,,,,8967,5.0,5,,,,,,
,,,,,8974,7.0,7,,,,,,
,,,,,8979,5.0,5,,,,,,
,,,,,8982,3.0,3,,,,,,
,,,,,8992,10.0,10,,,,,,
,,,,,9000,,,2.1833553314208984,5.076335906982422,4.964669227600098,0.0003,0.0003,0.1
,,,,,9007,15.0,15,,,,,,
,,,,,9010,3.0,3,,,,,,
,,,,,9014,4.0,4,,,,,,
,,,,,9030,16.0,16,,,,,,
,,,,,9033,3.0,3,,,,,,
,,,,,9038,5.0,5,,,,,,
,,,,,9048,10.0,10,,,,,,
,,,,,9056,8.0,8,,,,,,
,,,,,9063,7.0,7,,,,,,
,,,,,9067,4.0,4,,,,,,
,,,,,9071,4.0,4,,,,,,
,,,,,9074,3.0,3,,,,,,
,,,,,9079,5.0,5,,,,,,
,,,,,9085,6.0,6,,,,,,
,,,,,9096,11.0,11,,,,,,
,,,,,9104,8.0,8,,,,,,
,,,,,9110,6.0,6,,,,,,
,,,,,9113,3.0,3,,,,,,
,,,,,9117,4.0,4,,,,,,
,,,,,9131,14.0,14,,,,,,
,,,,,9138,7.0,7,,,,,,
,,,,,9143,5.0,5,,,,,,
,,,,,9149,6.0,6,,,,,,
,,,,,9153,4.0,4,,,,,,
,,,,,9165,12.0,12,,,,,,
,,,,,9173,8.0,8,,,,,,
,,,,,9182,9.0,9,,,,,,
,,,,,9193,11.0,11,,,,,,
,,,,,9200,7.0,7,,,,,,
,,,,,9203,3.0,3,,,,,,
,,,,,9208,5.0,5,,,,,,
,,,,,9212,4.0,4,,,,,,
,,,,,9215,3.0,3,,,,,,
,,,,,9232,17.0,17,,,,,,
,,,,,9240,8.0,8,,,,,,
,,,,,9259,19.0,19,,,,,,
,,,,,9265,6.0,6,,,,,,
,,,,,9268,3.0,3,,,,,,
,,,,,9271,3.0,3,,,,,,
,,,,,9284,13.0,13,,,,,,
,,,,,9291,7.0,7,,,,,,
,,,,,9295,4.0,4,,,,,,
,,,,,9301,6.0,6,,,,,,
,,,,,9305,4.0,4,,,,,,
,,,,,9314,9.0,9,,,,,,
,,,,,9318,4.0,4,,,,,,
,,,,,9325,7.0,7,,,,,,
