Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
7.2,5.0950956,19.0,3.0,7.2,0,,,,,,,,,,
,,,,,2,3.0,3,,,,,,,,
,,,,,21,19.0,19,,,,,,,,
,,,,,24,3.0,3,,,,,,,,
,,,,,35,11.0,11,,,,,,,,
,,,,,41,6.0,6,,,,,,,,
,,,,,52,11.0,11,,,,,,,,
,,,,,57,5.0,5,,,,,,,,
,,,,,61,4.0,4,,,,,,,,
,,,,,64,3.0,3,,,,,,,,
,,,,,68,4.0,4,,,,,,,,
,,,,,72,4.0,4,,,,,,,,
,,,,,75,3.0,3,,,,,,,,
,,,,,79,4.0,4,,,,,,,,
,,,,,94,15.0,15,,,,,,,,
,,,,,100,6.0,6,,,,,,,,
,,,,,104,4.0,4,,,,,,,,
,,,,,107,3.0,3,,,,,,,,
,,,,,118,11.0,11,,,,,,,,
,,,,,121,3.0,3,,,,,,,,
,,,,,125,4.0,4,,,,,,,,
,,,,,129,4.0,4,,,,,,,,
,,,,,133,4.0,4,,,,,,,,
,,,,,141,8.0,8,,,,,,,,
,,,,,152,11.0,11,,,,,,,,
,,,,,163,11.0,11,,,,,,,,
,,,,,167,4.0,4,,,,,,,,
,,,,,174,7.0,7,,,,,,,,
,,,,,189,15.0,15,,,,,,,,
,,,,,192,3.0,3,,,,,,,,
,,,,,202,10.0,10,,,,,,,,
,,,,,208,6.0,6,,,,,,,,
,,,,,212,4.0,4,,,,,,,,
,,,,,218,6.0,6,,,,,,,,
,,,,,222,4.0,4,,,,,,,,
,,,,,227,5.0,5,,,,,,,,
,,,,,244,17.0,17,,,,,,,,
,,,,,249,5.0,5,,,,,,,,
,,,,,253,4.0,4,,,,,,,,
,,,,,257,4.0,4,,,,,,,,
,,,,,274,17.0,17,,,,,,,,
,,,,,281,7.0,7,,,,,,,,
,,,,,293,12.0,12,,,,,,,,
,,,,,305,12.0,12,,,,,,,,
,,,,,309,4.0,4,,,,,,,,
,,,,,316,7.0,7,,,,,,,,
,,,,,329,13.0,13,,,,,,,,
,,,,,333,4.0,4,,,,,,,,
,,,,,342,9.0,9,,,,,,,,
,,,,,347,5.0,5,,,,,,,,
,,,,,351,4.0,4,,,,,,,,
,,,,,356,5.0,5,,,,,,,,
,,,,,368,12.0,12,,,,,,,,
,,,,,371,3.0,3,,,,,,,,
,,,,,375,4.0,4,,,,,,,,
,,,,,378,3.0,3,,,,,,,,
,,,,,388,10.0,10,,,,,,,,
,,,,,391,3.0,3,,,,,,,,
,,,,,394,3.0,3,,,,,,,,
,,,,,405,11.0,11,,,,,,,,
,,,,,412,7.0,7,,,,,,,,
,,,,,416,4.0,4,,,,,,,,
,,,,,420,4.0,4,,,,,,,,
,,,,,425,5.0,5,,,,,,,,
,,,,,435,10.0,10,,,,,,,,
,,,,,438,3.0,3,,,,,,,,
,,,,,444,6.0,6,,,,,,,,
,,,,,447,3.0,3,,,,,,,,
,,,,,450,3.0,3,,,,,,,,
,,,,,454,4.0,4,,,,,,,,
,,,,,458,4.0,4,,,,,,,,
,,,,,462,4.0,4,,,,,,,,
,,,,,465,3.0,3,,,,,,,,
,,,,,475,10.0,10,,,,,,,,
,,,,,478,3.0,3,,,,,,,,
,,,,,486,8.0,8,,,,,,,,
,,,,,494,8.0,8,,,,,,,,
,,,,,497,3.0,3,,,,,,,,
,,,,,500,3.0,3,,,,,,,,
,,,,,504,4.0,4,,,,,,,,
,,,,,507,3.0,3,,,,,,,,
,,,,,512,5.0,5,,,,,,,,
,,,,,518,6.0,6,,,,,,,,
,,,,,521,3.0,3,,,,,,,,
,,,,,530,9.0,9,,,,,,,,
,,,,,536,6.0,6,,,,,,,,
,,,,,539,3.0,3,,,,,,,,
,,,,,543,4.0,4,,,,,,,,
,,,,,548,5.0,5,,,,,,,,
,,,,,554,6.0,6,,,,,,,,
,,,,,559,5.0,5,,,,,,,,
,,,,,562,3.0,3,,,,,,,,
,,,,,569,7.0,7,,,,,,,,
,,,,,574,5.0,5,,,,,,,,
,,,,,577,3.0,3,,,,,,,,
,,,,,595,18.0,18,,,,,,,,
,,,,,598,3.0,3,,,,,,,,
,,,,,601,3.0,3,,,,,,,,
,,,,,605,4.0,4,,,,,,,,
,,,,,610,5.0,5,,,,,,,,
,,,,,616,6.0,6,,,,,,,,
,,,,,622,6.0,6,,,,,,,,
,,,,,625,3.0,3,,,,,,,,
,,,,,637,12.0,12,,,,,,,,
,,,,,652,15.0,15,,,,,,,,
,,,,,655,3.0,3,,,,,,,,
,,,,,663,8.0,8,,,,,,,,
,,,,,666,3.0,3,,,,,,,,
,,,,,679,13.0,13,,,,,,,,
,,,,,683,4.0,4,,,,,,,,
,,,,,688,5.0,5,,,,,,,,
,,,,,692,4.0,4,,,,,,,,
,,,,,695,3.0,3,,,,,,,,
