Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.8,4.0199504,15.0,3.0,6.8,0,,,,,,,,,,
,,,,,6,7.0,7,,,,,,,,
,,,,,13,7.0,7,,,,,,,,
,,,,,18,5.0,5,,,,,,,,
,,,,,21,3.0,3,,,,,,,,
,,,,,30,9.0,9,,,,,,,,
,,,,,38,8.0,8,,,,,,,,
,,,,,41,3.0,3,,,,,,,,
,,,,,45,4.0,4,,,,,,,,
,,,,,51,6.0,6,,,,,,,,
,,,,,54,3.0,3,,,,,,,,
,,,,,58,4.0,4,,,,,,,,
,,,,,63,5.0,5,,,,,,,,
,,,,,67,4.0,4,,,,,,,,
,,,,,73,6.0,6,,,,,,,,
,,,,,81,8.0,8,,,,,,,,
,,,,,84,3.0,3,,,,,,,,
,,,,,90,6.0,6,,,,,,,,
,,,,,94,4.0,4,,,,,,,,
,,,,,101,7.0,7,,,,,,,,
,,,,,106,5.0,5,,,,,,,,
,,,,,112,6.0,6,,,,,,,,
,,,,,121,9.0,9,,,,,,,,
,,,,,140,19.0,19,,,,,,,,
,,,,,145,5.0,5,,,,,,,,
,,,,,151,6.0,6,,,,,,,,
,,,,,154,3.0,3,,,,,,,,
,,,,,158,4.0,4,,,,,,,,
,,,,,162,4.0,4,,,,,,,,
,,,,,170,8.0,8,,,,,,,,
,,,,,182,12.0,12,,,,,,,,
,,,,,195,13.0,13,,,,,,,,
,,,,,201,6.0,6,,,,,,,,
,,,,,208,7.0,7,,,,,,,,
,,,,,211,3.0,3,,,,,,,,
,,,,,216,5.0,5,,,,,,,,
,,,,,227,11.0,11,,,,,,,,
,,,,,230,3.0,3,,,,,,,,
,,,,,233,3.0,3,,,,,,,,
,,,,,240,7.0,7,,,,,,,,
,,,,,245,5.0,5,,,,,,,,
,,,,,250,5.0,5,,,,,,,,
,,,,,253,3.0,3,,,,,,,,
,,,,,256,3.0,3,,,,,,,,
,,,,,260,4.0,4,,,,,,,,
,,,,,264,4.0,4,,,,,,,,
,,,,,268,4.0,4,,,,,,,,
,,,,,278,10.0,10,,,,,,,,
,,,,,281,3.0,3,,,,,,,,
,,,,,284,3.0,3,,,,,,,,
,,,,,288,4.0,4,,,,,,,,
,,,,,299,11.0,11,,,,,,,,
,,,,,303,4.0,4,,,,,,,,
,,,,,310,7.0,7,,,,,,,,
,,,,,321,11.0,11,,,,,,,,
,,,,,326,5.0,5,,,,,,,,
,,,,,329,3.0,3,,,,,,,,
,,,,,334,5.0,5,,,,,,,,
,,,,,344,10.0,10,,,,,,,,
,,,,,348,4.0,4,,,,,,,,
,,,,,352,4.0,4,,,,,,,,
,,,,,357,5.0,5,,,,,,,,
,,,,,363,6.0,6,,,,,,,,
,,,,,368,5.0,5,,,,,,,,
,,,,,372,4.0,4,,,,,,,,
,,,,,377,5.0,5,,,,,,,,
,,,,,389,12.0,12,,,,,,,,
,,,,,400,11.0,11,,,,,,,,
,,,,,412,12.0,12,,,,,,,,
,,,,,420,8.0,8,,,,,,,,
,,,,,426,6.0,6,,,,,,,,
,,,,,429,3.0,3,,,,,,,,
,,,,,442,13.0,13,,,,,,,,
,,,,,448,6.0,6,,,,,,,,
,,,,,457,9.0,9,,,,,,,,
,,,,,461,4.0,4,,,,,,,,
,,,,,465,4.0,4,,,,,,,,
,,,,,468,3.0,3,,,,,,,,
,,,,,472,4.0,4,,,,,,,,
,,,,,479,7.0,7,,,,,,,,
