Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.8,4.0199504,15.0,3.0,6.8,0,,,,,,,,,,
,,,,,3,4.0,4,,,,,,,,
,,,,,6,3.0,3,,,,,,,,
,,,,,12,6.0,6,,,,,,,,
,,,,,16,4.0,4,,,,,,,,
,,,,,24,8.0,8,,,,,,,,
,,,,,29,5.0,5,,,,,,,,
,,,,,35,6.0,6,,,,,,,,
,,,,,41,6.0,6,,,,,,,,
,,,,,45,4.0,4,,,,,,,,
,,,,,51,6.0,6,,,,,,,,
,,,,,56,5.0,5,,,,,,,,
,,,,,65,9.0,9,,,,,,,,
,,,,,68,3.0,3,,,,,,,,
,,,,,75,7.0,7,,,,,,,,
,,,,,78,3.0,3,,,,,,,,
,,,,,82,4.0,4,,,,,,,,
,,,,,86,4.0,4,,,,,,,,
,,,,,101,15.0,15,,,,,,,,
,,,,,109,8.0,8,,,,,,,,
,,,,,112,3.0,3,,,,,,,,
,,,,,115,3.0,3,,,,,,,,
,,,,,123,8.0,8,,,,,,,,
,,,,,128,5.0,5,,,,,,,,
,,,,,131,3.0,3,,,,,,,,
,,,,,146,15.0,15,,,,,,,,
,,,,,153,7.0,7,,,,,,,,
,,,,,156,3.0,3,,,,,,,,
,,,,,162,6.0,6,,,,,,,,
,,,,,165,3.0,3,,,,,,,,
,,,,,168,3.0,3,,,,,,,,
,,,,,174,6.0,6,,,,,,,,
,,,,,179,5.0,5,,,,,,,,
,,,,,188,9.0,9,,,,,,,,
,,,,,203,15.0,15,,,,,,,,
,,,,,206,3.0,3,,,,,,,,
,,,,,210,4.0,4,,,,,,,,
,,,,,213,3.0,3,,,,,,,,
,,,,,243,30.0,30,,,,,,,,
,,,,,246,3.0,3,,,,,,,,
,,,,,251,5.0,5,,,,,,,,
,,,,,254,3.0,3,,,,,,,,
,,,,,258,4.0,4,,,,,,,,
,,,,,262,4.0,4,,,,,,,,
,,,,,271,9.0,9,,,,,,,,
,,,,,274,3.0,3,,,,,,,,
,,,,,280,6.0,6,,,,,,,,
,,,,,283,3.0,3,,,,,,,,
,,,,,287,4.0,4,,,,,,,,
,,,,,291,4.0,4,,,,,,,,
,,,,,294,3.0,3,,,,,,,,
,,,,,301,7.0,7,,,,,,,,
,,,,,306,5.0,5,,,,,,,,
,,,,,311,5.0,5,,,,,,,,
,,,,,317,6.0,6,,,,,,,,
,,,,,320,3.0,3,,,,,,,,
,,,,,324,4.0,4,,,,,,,,
,,,,,332,8.0,8,,,,,,,,
,,,,,341,9.0,9,,,,,,,,
,,,,,348,7.0,7,,,,,,,,
,,,,,354,6.0,6,,,,,,,,
,,,,,357,3.0,3,,,,,,,,
,,,,,360,3.0,3,,,,,,,,
,,,,,364,4.0,4,,,,,,,,
,,,,,370,6.0,6,,,,,,,,
,,,,,378,8.0,8,,,,,,,,
,,,,,381,3.0,3,,,,,,,,
,,,,,388,7.0,7,,,,,,,,
,,,,,394,6.0,6,,,,,,,,
,,,,,401,7.0,7,,,,,,,,
,,,,,410,9.0,9,,,,,,,,
,,,,,414,4.0,4,,,,,,,,
,,,,,423,9.0,9,,,,,,,,
,,,,,428,5.0,5,,,,,,,,
,,,,,432,4.0,4,,,,,,,,
,,,,,440,8.0,8,,,,,,,,
,,,,,450,10.0,10,,,,,,,,
,,,,,454,4.0,4,,,,,,,,
,,,,,461,7.0,7,,,,,,,,
,,,,,469,8.0,8,,,,,,,,
,,,,,474,5.0,5,,,,,,,,
,,,,,479,5.0,5,,,,,,,,
,,,,,483,4.0,4,,,,,,,,
,,,,,491,8.0,8,,,,,,,,
,,,,,501,10.0,10,,,,,,,,
,,,,,506,5.0,5,,,,,,,,
,,,,,518,12.0,12,,,,,,,,
,,,,,529,11.0,11,,,,,,,,
,,,,,536,7.0,7,,,,,,,,
,,,,,540,4.0,4,,,,,,,,
,,,,,543,3.0,3,,,,,,,,
,,,,,550,7.0,7,,,,,,,,
