Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.8,4.0199504,15.0,3.0,6.8,0,,,,,,,,,,
,,,,,5,6.0,6,,,,,,,,
,,,,,12,7.0,7,,,,,,,,
,,,,,19,7.0,7,,,,,,,,
,,,,,23,4.0,4,,,,,,,,
,,,,,29,6.0,6,,,,,,,,
,,,,,33,4.0,4,,,,,,,,
,,,,,38,5.0,5,,,,,,,,
,,,,,41,3.0,3,,,,,,,,
,,,,,47,6.0,6,,,,,,,,
,,,,,53,6.0,6,,,,,,,,
,,,,,62,9.0,9,,,,,,,,
,,,,,66,4.0,4,,,,,,,,
,,,,,72,6.0,6,,,,,,,,
,,,,,75,3.0,3,,,,,,,,
,,,,,81,6.0,6,,,,,,,,
,,,,,89,8.0,8,,,,,,,,
,,,,,93,4.0,4,,,,,,,,
,,,,,121,28.0,28,,,,,,,,
,,,,,124,3.0,3,,,,,,,,
,,,,,127,3.0,3,,,,,,,,
,,,,,131,4.0,4,,,,,,,,
,,,,,137,6.0,6,,,,,,,,
,,,,,144,7.0,7,,,,,,,,
,,,,,148,4.0,4,,,,,,,,
,,,,,154,6.0,6,,,,,,,,
,,,,,163,9.0,9,,,,,,,,
,,,,,170,7.0,7,,,,,,,,
,,,,,176,6.0,6,,,,,,,,
,,,,,179,3.0,3,,,,,,,,
,,,,,183,4.0,4,,,,,,,,
,,,,,195,12.0,12,,,,,,,,
,,,,,200,5.0,5,,,,,,,,
,,,,,207,7.0,7,,,,,,,,
,,,,,215,8.0,8,,,,,,,,
,,,,,220,5.0,5,,,,,,,,
,,,,,223,3.0,3,,,,,,,,
,,,,,227,4.0,4,,,,,,,,
,,,,,231,4.0,4,,,,,,,,
,,,,,238,7.0,7,,,,,,,,
,,,,,242,4.0,4,,,,,,,,
,,,,,249,7.0,7,,,,,,,,
,,,,,261,12.0,12,,,,,,,,
,,,,,264,3.0,3,,,,,,,,
,,,,,278,14.0,14,,,,,,,,
,,,,,283,5.0,5,,,,,,,,
,,,,,289,6.0,6,,,,,,,,
,,,,,295,6.0,6,,,,,,,,
,,,,,299,4.0,4,,,,,,,,
,,,,,306,7.0,7,,,,,,,,
,,,,,309,3.0,3,,,,,,,,
,,,,,316,7.0,7,,,,,,,,
,,,,,321,5.0,5,,,,,,,,
,,,,,330,9.0,9,,,,,,,,
,,,,,337,7.0,7,,,,,,,,
,,,,,345,8.0,8,,,,,,,,
,,,,,354,9.0,9,,,,,,,,
,,,,,368,14.0,14,,,,,,,,
,,,,,372,4.0,4,,,,,,,,
,,,,,384,12.0,12,,,,,,,,
,,,,,388,4.0,4,,,,,,,,
,,,,,396,8.0,8,,,,,,,,
,,,,,401,5.0,5,,,,,,,,
,,,,,405,4.0,4,,,,,,,,
,,,,,410,5.0,5,,,,,,,,
,,,,,413,3.0,3,,,,,,,,
,,,,,418,5.0,5,,,,,,,,
,,,,,421,3.0,3,,,,,,,,
,,,,,441,20.0,20,,,,,,,,
,,,,,445,4.0,4,,,,,,,,
,,,,,450,5.0,5,,,,,,,,
,,,,,456,6.0,6,,,,,,,,
,,,,,464,8.0,8,,,,,,,,
,,,,,467,3.0,3,,,,,,,,
,,,,,470,3.0,3,,,,,,,,
,,,,,474,4.0,4,,,,,,,,
,,,,,481,7.0,7,,,,,,,,
,,,,,499,18.0,18,,,,,,,,
,,,,,504,5.0,5,,,,,,,,
,,,,,508,4.0,4,,,,,,,,
,,,,,511,3.0,3,,,,,,,,
,,,,,516,5.0,5,,,,,,,,
,,,,,520,4.0,4,,,,,,,,
,,,,,523,3.0,3,,,,,,,,
,,,,,531,8.0,8,,,,,,,,
,,,,,540,9.0,9,,,,,,,,
,,,,,547,7.0,7,,,,,,,,
,,,,,552,5.0,5,,,,,,,,
,,,,,558,6.0,6,,,,,,,,
,,,,,562,4.0,4,,,,,,,,
,,,,,568,6.0,6,,,,,,,,
,,,,,573,5.0,5,,,,,,,,
,,,,,579,6.0,6,,,,,,,,
,,,,,582,3.0,3,,,,,,,,
,,,,,586,4.0,4,,,,,,,,
,,,,,592,6.0,6,,,,,,,,
,,,,,596,4.0,4,,,,,,,,
,,,,,612,16.0,16,,,,,,,,
,,,,,634,22.0,22,,,,,,,,
,,,,,642,8.0,8,,,,,,,,
,,,,,646,4.0,4,,,,,,,,
,,,,,652,6.0,6,,,,,,,,
,,,,,664,12.0,12,,,,,,,,
,,,,,672,8.0,8,,,,,,,,
,,,,,676,4.0,4,,,,,,,,
,,,,,686,10.0,10,,,,,,,,
,,,,,695,9.0,9,,,,,,,,
,,,,,701,6.0,6,,,,,,,,
,,,,,705,4.0,4,,,,,,,,
,,,,,714,9.0,9,,,,,,,,
