Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.0,3.0,13.0,3.0,6.0,0,,,,,,,,,,
,,,,,2,3.0,3,,,,,,,,
,,,,,6,4.0,4,,,,,,,,
,,,,,13,7.0,7,,,,,,,,
,,,,,18,5.0,5,,,,,,,,
,,,,,21,3.0,3,,,,,,,,
,,,,,32,11.0,11,,,,,,,,
,,,,,36,4.0,4,,,,,,,,
,,,,,43,7.0,7,,,,,,,,
,,,,,53,10.0,10,,,,,,,,
,,,,,59,6.0,6,,,,,,,,
,,,,,78,19.0,19,,,,,,,,
,,,,,81,3.0,3,,,,,,,,
,,,,,85,4.0,4,,,,,,,,
,,,,,89,4.0,4,,,,,,,,
,,,,,93,4.0,4,,,,,,,,
,,,,,97,4.0,4,,,,,,,,
,,,,,101,4.0,4,,,,,,,,
,,,,,105,4.0,4,,,,,,,,
,,,,,109,4.0,4,,,,,,,,
,,,,,117,8.0,8,,,,,,,,
,,,,,120,3.0,3,,,,,,,,
,,,,,125,5.0,5,,,,,,,,
,,,,,128,3.0,3,,,,,,,,
,,,,,139,11.0,11,,,,,,,,
,,,,,143,4.0,4,,,,,,,,
,,,,,148,5.0,5,,,,,,,,
,,,,,154,6.0,6,,,,,,,,
,,,,,159,5.0,5,,,,,,,,
,,,,,163,4.0,4,,,,,,,,
,,,,,167,4.0,4,,,,,,,,
,,,,,180,13.0,13,,,,,,,,
,,,,,193,13.0,13,,,,,,,,
,,,,,199,6.0,6,,,,,,,,
,,,,,202,3.0,3,,,,,,,,
,,,,,208,6.0,6,,,,,,,,
,,,,,212,4.0,4,,,,,,,,
,,,,,219,7.0,7,,,,,,,,
,,,,,234,15.0,15,,,,,,,,
,,,,,237,3.0,3,,,,,,,,
,,,,,241,4.0,4,,,,,,,,
,,,,,249,8.0,8,,,,,,,,
,,,,,256,7.0,7,,,,,,,,
,,,,,266,10.0,10,,,,,,,,
,,,,,274,8.0,8,,,,,,,,
,,,,,277,3.0,3,,,,,,,,
,,,,,280,3.0,3,,,,,,,,
,,,,,298,18.0,18,,,,,,,,
,,,,,308,10.0,10,,,,,,,,
,,,,,313,5.0,5,,,,,,,,
,,,,,321,8.0,8,,,,,,,,
,,,,,324,3.0,3,,,,,,,,
,,,,,332,8.0,8,,,,,,,,
,,,,,337,5.0,5,,,,,,,,
,,,,,351,14.0,14,,,,,,,,
,,,,,356,5.0,5,,,,,,,,
,,,,,364,8.0,8,,,,,,,,
,,,,,368,4.0,4,,,,,,,,
,,,,,375,7.0,7,,,,,,,,
,,,,,379,4.0,4,,,,,,,,
,,,,,385,6.0,6,,,,,,,,
,,,,,392,7.0,7,,,,,,,,
,,,,,396,4.0,4,,,,,,,,
,,,,,403,7.0,7,,,,,,,,
,,,,,406,3.0,3,,,,,,,,
,,,,,410,4.0,4,,,,,,,,
,,,,,419,9.0,9,,,,,,,,
,,,,,423,4.0,4,,,,,,,,
,,,,,430,7.0,7,,,,,,,,
,,,,,442,12.0,12,,,,,,,,
,,,,,464,22.0,22,,,,,,,,
,,,,,470,6.0,6,,,,,,,,
,,,,,474,4.0,4,,,,,,,,
,,,,,480,6.0,6,,,,,,,,
