Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
8.1,5.3376026,18.0,3.0,8.1,0,,,,,,,,,,
,,,,,5,6.0,6,,,,,,,,
,,,,,9,4.0,4,,,,,,,,
,,,,,12,3.0,3,,,,,,,,
,,,,,18,6.0,6,,,,,,,,
,,,,,23,5.0,5,,,,,,,,
,,,,,27,4.0,4,,,,,,,,
,,,,,35,8.0,8,,,,,,,,
,,,,,39,4.0,4,,,,,,,,
,,,,,42,3.0,3,,,,,,,,
,,,,,46,4.0,4,,,,,,,,
,,,,,49,3.0,3,,,,,,,,
,,,,,52,3.0,3,,,,,,,,
,,,,,57,5.0,5,,,,,,,,
,,,,,60,3.0,3,,,,,,,,
,,,,,64,4.0,4,,,,,,,,
,,,,,76,12.0,12,,,,,,,,
,,,,,85,9.0,9,,,,,,,,
,,,,,95,10.0,10,,,,,,,,
,,,,,100,5.0,5,,,,,,,,
,,,,,107,7.0,7,,,,,,,,
,,,,,112,5.0,5,,,,,,,,
,,,,,117,5.0,5,,,,,,,,
,,,,,128,11.0,11,,,,,,,,
,,,,,132,4.0,4,,,,,,,,
,,,,,136,4.0,4,,,,,,,,
,,,,,139,3.0,3,,,,,,,,
,,,,,146,7.0,7,,,,,,,,
,,,,,149,3.0,3,,,,,,,,
,,,,,157,8.0,8,,,,,,,,
,,,,,161,4.0,4,,,,,,,,
,,,,,166,5.0,5,,,,,,,,
,,,,,170,4.0,4,,,,,,,,
,,,,,174,4.0,4,,,,,,,,
,,,,,178,4.0,4,,,,,,,,
,,,,,181,3.0,3,,,,,,,,
,,,,,184,3.0,3,,,,,,,,
,,,,,188,4.0,4,,,,,,,,
,,,,,195,7.0,7,,,,,,,,
,,,,,200,5.0,5,,,,,,,,
,,,,,203,3.0,3,,,,,,,,
,,,,,208,5.0,5,,,,,,,,
,,,,,219,11.0,11,,,,,,,,
,,,,,224,5.0,5,,,,,,,,
,,,,,230,6.0,6,,,,,,,,
,,,,,233,3.0,3,,,,,,,,
