Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.0,3.34664,13.0,3.0,6.0,0,,,,,,,,,,
,,,,,4,5.0,5,,,,,,,,
,,,,,9,5.0,5,,,,,,,,
,,,,,14,5.0,5,,,,,,,,
,,,,,23,9.0,9,,,,,,,,
,,,,,27,4.0,4,,,,,,,,
,,,,,30,3.0,3,,,,,,,,
,,,,,33,3.0,3,,,,,,,,
,,,,,39,6.0,6,,,,,,,,
,,,,,42,3.0,3,,,,,,,,
,,,,,49,7.0,7,,,,,,,,
,,,,,52,3.0,3,,,,,,,,
,,,,,58,6.0,6,,,,,,,,
,,,,,61,3.0,3,,,,,,,,
,,,,,64,3.0,3,,,,,,,,
,,,,,68,4.0,4,,,,,,,,
,,,,,71,3.0,3,,,,,,,,
,,,,,76,5.0,5,,,,,,,,
,,,,,83,7.0,7,,,,,,,,
,,,,,86,3.0,3,,,,,,,,
,,,,,92,6.0,6,,,,,,,,
,,,,,100,8.0,8,,,,,,,,
,,,,,111,11.0,11,,,,,,,,
,,,,,120,9.0,9,,,,,,,,
,,,,,126,6.0,6,,,,,,,,
,,,,,129,3.0,3,,,,,,,,
,,,,,132,3.0,3,,,,,,,,
,,,,,138,6.0,6,,,,,,,,
,,,,,150,12.0,12,,,,,,,,
,,,,,154,4.0,4,,,,,,,,
,,,,,160,6.0,6,,,,,,,,
,,,,,163,3.0,3,,,,,,,,
,,,,,167,4.0,4,,,,,,,,
,,,,,172,5.0,5,,,,,,,,
,,,,,175,3.0,3,,,,,,,,
,,,,,179,4.0,4,,,,,,,,
,,,,,184,5.0,5,,,,,,,,
,,,,,189,5.0,5,,,,,,,,
,,,,,192,3.0,3,,,,,,,,
,,,,,197,5.0,5,,,,,,,,
,,,,,208,11.0,11,,,,,,,,
,,,,,213,5.0,5,,,,,,,,
,,,,,224,11.0,11,,,,,,,,
,,,,,227,3.0,3,,,,,,,,
,,,,,240,13.0,13,,,,,,,,
,,,,,250,10.0,10,,,,,,,,
,,,,,255,5.0,5,,,,,,,,
,,,,,266,11.0,11,,,,,,,,
,,,,,270,4.0,4,,,,,,,,
,,,,,273,3.0,3,,,,,,,,
,,,,,281,8.0,8,,,,,,,,
,,,,,285,4.0,4,,,,,,,,
,,,,,292,7.0,7,,,,,,,,
,,,,,298,6.0,6,,,,,,,,
,,,,,304,6.0,6,,,,,,,,
,,,,,309,5.0,5,,,,,,,,
,,,,,313,4.0,4,,,,,,,,
,,,,,319,6.0,6,,,,,,,,
,,,,,326,7.0,7,,,,,,,,
,,,,,330,4.0,4,,,,,,,,
,,,,,335,5.0,5,,,,,,,,
,,,,,343,8.0,8,,,,,,,,
,,,,,347,4.0,4,,,,,,,,
,,,,,358,11.0,11,,,,,,,,
,,,,,363,5.0,5,,,,,,,,
,,,,,366,3.0,3,,,,,,,,
,,,,,369,3.0,3,,,,,,,,
,,,,,374,5.0,5,,,,,,,,
,,,,,379,5.0,5,,,,,,,,
,,,,,382,3.0,3,,,,,,,,
,,,,,388,6.0,6,,,,,,,,
,,,,,391,3.0,3,,,,,,,,
,,,,,395,4.0,4,,,,,,,,
,,,,,399,4.0,4,,,,,,,,
,,,,,403,4.0,4,,,,,,,,
,,,,,406,3.0,3,,,,,,,,
,,,,,410,4.0,4,,,,,,,,
,,,,,413,3.0,3,,,,,,,,
,,,,,418,5.0,5,,,,,,,,
,,,,,422,4.0,4,,,,,,,,
,,,,,426,4.0,4,,,,,,,,
,,,,,429,3.0,3,,,,,,,,
,,,,,433,4.0,4,,,,,,,,
,,,,,438,5.0,5,,,,,,,,
,,,,,441,3.0,3,,,,,,,,
,,,,,450,9.0,9,,,,,,,,
,,,,,454,4.0,4,,,,,,,,
,,,,,458,4.0,4,,,,,,,,
,,,,,462,4.0,4,,,,,,,,
,,,,,470,8.0,8,,,,,,,,
,,,,,475,5.0,5,,,,,,,,
,,,,,480,5.0,5,,,,,,,,
,,,,,483,3.0,3,,,,,,,,
,,,,,489,6.0,6,,,,,,,,
