Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,880,5.0,5,,,,,,,,
,,,,,884,4.0,4,,,,,,,,
,,,,,889,5.0,5,,,,,,,,
,,,,,894,5.0,5,,,,,,,,
,,,,,900,6.0,6,,,,,,,,
,,,,,909,9.0,9,,,,,,,,
,,,,,915,6.0,6,,,,,,,,
,,,,,920,5.0,5,,,,,,,,
,,,,,929,9.0,9,,,,,,,,
,,,,,932,3.0,3,,,,,,,,
,,,,,938,6.0,6,,,,,,,,
,,,,,942,4.0,4,,,,,,,,
,,,,,947,5.0,5,,,,,,,,
,,,,,950,3.0,3,,,,,,,,
,,,,,954,4.0,4,,,,,,,,
,,,,,963,9.0,9,,,,,,,,
,,,,,967,4.0,4,,,,,,,,
,,,,,973,6.0,6,,,,,,,,
,,,,,977,4.0,4,,,,,,,,
,,,,,980,3.0,3,,,,,,,,
,,,,,993,13.0,13,,,,,,,,
,,,,,997,4.0,4,,,,,,,,
,,,,,1004,7.0,7,,,,,,,,
,,,,,1007,3.0,3,,,,,,,,
,,,,,1019,12.0,12,,,,,,,,
,,,,,1024,5.0,5,,,,,,,,
,,,,,1030,6.0,6,,,,,,,,
,,,,,1038,8.0,8,,,,,,,,
,,,,,1044,6.0,6,,,,,,,,
,,,,,1055,11.0,11,,,,,,,,
,,,,,1069,14.0,14,,,,,,,,
,,,,,1073,4.0,4,,,,,,,,
,,,,,1079,6.0,6,,,,,,,,
,,,,,1082,3.0,3,,,,,,,,
,,,,,1086,4.0,4,,,,,,,,
,,,,,1102,16.0,16,,,,,,,,
,,,,,1107,5.0,5,,,,,,,,
,,,,,1110,3.0,3,,,,,,,,
,,,,,1117,7.0,7,,,,,,,,
,,,,,1124,7.0,7,,,,,,,,
,,,,,1128,4.0,4,,,,,,,,
,,,,,1132,4.0,4,,,,,,,,
,,,,,1143,11.0,11,,,,,,,,
,,,,,1146,3.0,3,,,,,,,,
,,,,,1149,3.0,3,,,,,,,,
,,,,,1152,3.0,3,,,,,,,,
,,,,,1159,7.0,7,,,,,,,,
,,,,,1162,3.0,3,,,,,,,,
,,,,,1165,3.0,3,,,,,,,,
,,,,,1169,4.0,4,,,,,,,,
,,,,,1174,5.0,5,,,,,,,,
,,,,,1177,3.0,3,,,,,,,,
,,,,,1180,3.0,3,,,,,,,,
,,,,,1184,4.0,4,,,,,,,,
,,,,,1193,9.0,9,,,,,,,,
,,,,,1202,9.0,9,,,,,,,,
,,,,,1212,10.0,10,,,,,,,,
,,,,,1223,11.0,11,,,,,,,,
,,,,,1236,13.0,13,,,,,,,,
,,,,,1245,9.0,9,,,,,,,,
,,,,,1254,9.0,9,,,,,,,,
,,,,,1259,5.0,5,,,,,,,,
,,,,,1265,6.0,6,,,,,,,,
,,,,,1268,3.0,3,,,,,,,,
,,,,,1273,5.0,5,,,,,,,,
,,,,,1285,12.0,12,,,,,,,,
,,,,,1289,4.0,4,,,,,,,,
,,,,,1294,5.0,5,,,,,,,,
,,,,,1299,5.0,5,,,,,,,,
,,,,,1303,4.0,4,,,,,,,,
,,,,,1311,8.0,8,,,,,,,,
,,,,,1315,4.0,4,,,,,,,,
,,,,,1324,9.0,9,,,,,,,,
,,,,,1329,5.0,5,,,,,,,,
,,,,,1332,3.0,3,,,,,,,,
,,,,,1337,5.0,5,,,,,,,,
,,,,,1345,8.0,8,,,,,,,,
,,,,,1352,7.0,7,,,,,,,,
,,,,,1363,11.0,11,,,,,,,,
,,,,,1366,3.0,3,,,,,,,,
,,,,,1371,5.0,5,,,,,,,,
,,,,,1380,9.0,9,,,,,,,,
,,,,,1394,14.0,14,,,,,,,,
,,,,,1400,6.0,6,,,,,,,,
,,,,,1412,12.0,12,,,,,,,,
,,,,,1420,8.0,8,,,,,,,,
,,,,,1424,4.0,4,,,,,,,,
,,,,,1431,7.0,7,,,,,,,,
,,,,,1447,16.0,16,,,,,,,,
,,,,,1465,18.0,18,,,,,,,,
,,,,,1472,7.0,7,,,,,,,,
,,,,,1475,3.0,3,,,,,,,,
,,,,,1478,3.0,3,,,,,,,,
,,,,,1490,12.0,12,,,,,,,,
,,,,,1501,11.0,11,,,,,,,,
,,,,,1505,4.0,4,,,,,,,,
,,,,,1511,6.0,6,,,,,,,,
,,,,,1524,13.0,13,,,,,,,,
,,,,,1536,12.0,12,,,,,,,,
,,,,,1553,17.0,17,,,,,,,,
,,,,,1557,4.0,4,,,,,,,,
