Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,3193,14.0,14,,,,,,
,,,,,3204,11.0,11,,,,,,
,,,,,3252,48.0,48,,,,,,
,,,,,3280,28.0,28,,,,,,
,,,,,3291,11.0,11,,,,,,
,,,,,3316,25.0,25,,,,,,
,,,,,3330,14.0,14,,,,,,
,,,,,3341,11.0,11,,,,,,
,,,,,3363,22.0,22,,,,,,
,,,,,3373,10.0,10,,,,,,
,,,,,3394,21.0,21,,,,,,
,,,,,3436,42.0,42,,,,,,
,,,,,3447,11.0,11,,,,,,
,,,,,3472,25.0,25,,,,,,
,,,,,3504,32.0,32,,,,,,
,,,,,3516,12.0,12,,,,,,
,,,,,3535,19.0,19,,,,,,
,,,,,3572,37.0,37,,,,,,
,,,,,3585,13.0,13,,,,,,
,,,,,3599,14.0,14,,,,,,
,,,,,3615,16.0,16,,,,,,
,,,,,3630,15.0,15,,,,,,
,,,,,3644,14.0,14,,,,,,
,,,,,3665,21.0,21,,,,,,
,,,,,3681,16.0,16,,,,,,
,,,,,3726,45.0,45,,,,,,
,,,,,3740,14.0,14,,,,,,
,,,,,3752,12.0,12,,,,,,
,,,,,3764,12.0,12,,,,,,
,,,,,3818,54.0,54,,,,,,
,,,,,3830,12.0,12,,,,,,
,,,,,3861,31.0,31,,,,,,
,,,,,3884,23.0,23,,,,,,
,,,,,3910,26.0,26,,,,,,
,,,,,3944,34.0,34,,,,,,
,,,,,3970,26.0,26,,,,,,
,,,,,3995,25.0,25,,,,,,
,,,,,4000,,,0.0606929212808609,3.0337610244750977,3.045827627182007,0.23917338252067566,0.88,0.0005
,,,,,4011,16.0,16,,,,,,
,,,,,4020,9.0,9,,,,,,
,,,,,4038,18.0,18,,,,,,
,,,,,4061,23.0,23,,,,,,
,,,,,4087,26.0,26,,,,,,
,,,,,4100,13.0,13,,,,,,
,,,,,4117,17.0,17,,,,,,
,,,,,4161,44.0,44,,,,,,
,,,,,4200,39.0,39,,,,,,
,,,,,4236,36.0,36,,,,,,
,,,,,4256,20.0,20,,,,,,
,,,,,4268,12.0,12,,,,,,
,,,,,4316,48.0,48,,,,,,
,,,,,4365,49.0,49,,,,,,
,,,,,4398,33.0,33,,,,,,
,,,,,4413,15.0,15,,,,,,
,,,,,4427,14.0,14,,,,,,
,,,,,4465,38.0,38,,,,,,
,,,,,4522,57.0,57,,,,,,
,,,,,4542,20.0,20,,,,,,
,,,,,4557,15.0,15,,,,,,
,,,,,4610,53.0,53,,,,,,
,,,,,4638,28.0,28,,,,,,
,,,,,4663,25.0,25,,,,,,
,,,,,4679,16.0,16,,,,,,
,,,,,4719,40.0,40,,,,,,
,,,,,4745,26.0,26,,,,,,
,,,,,4763,18.0,18,,,,,,
,,,,,4824,61.0,61,,,,,,
,,,,,4844,20.0,20,,,,,,
,,,,,4889,45.0,45,,,,,,
,,,,,4916,27.0,27,,,,,,
,,,,,4937,21.0,21,,,,,,
,,,,,4988,51.0,51,,,,,,
185.7,14.1778,218.0,162.0,185.7,5000,,,0.12387058138847351,4.0254621505737305,3.996868133544922,0.2567262351512909,0.85,0.0005
,,,,,5050,62.0,62,,,,,,
,,,,,5105,55.0,55,,,,,,
,,,,,5117,12.0,12,,,,,,
,,,,,5135,18.0,18,,,,,,
,,,,,5156,21.0,21,,,,,,
,,,,,5172,16.0,16,,,,,,
,,,,,5193,21.0,21,,,,,,
,,,,,5211,18.0,18,,,,,,
,,,,,5293,82.0,82,,,,,,
,,,,,5303,10.0,10,,,,,,
,,,,,5347,44.0,44,,,,,,
,,,,,5378,31.0,31,,,,,,
,,,,,5409,31.0,31,,,,,,
,,,,,5438,29.0,29,,,,,,
,,,,,5478,40.0,40,,,,,,
,,,,,5502,24.0,24,,,,,,
,,,,,5562,60.0,60,,,,,,
,,,,,5598,36.0,36,,,,,,
,,,,,5624,26.0,26,,,,,,
,,,,,5686,62.0,62,,,,,,
,,,,,5706,20.0,20,,,,,,
,,,,,5721,15.0,15,,,,,,
,,,,,5749,28.0,28,,,,,,
,,,,,5779,30.0,30,,,,,,
,,,,,5796,17.0,17,,,,,,
,,,,,5826,30.0,30,,,,,,
,,,,,5867,41.0,41,,,,,,
,,,,,5883,16.0,16,,,,,,
,,,,,5974,91.0,91,,,,,,
,,,,,5987,13.0,13,,,,,,
,,,,,6000,13.0,13,,,,,,
,,,,,6000,,,0.15197518467903137,4.710294723510742,4.662187576293945,0.6335971355438232,0.82,0.0005
,,,,,6039,39.0,39,,,,,,
,,,,,6054,15.0,15,,,,,,
,,,,,6093,39.0,39,,,,,,
,,,,,6110,17.0,17,,,,,,
,,,,,6163,53.0,53,,,,,,
,,,,,6178,15.0,15,,,,,,
,,,,,6196,18.0,18,,,,,,
,,,,,6222,26.0,26,,,,,,
,,,,,6234,12.0,12,,,,,,
,,,,,6262,28.0,28,,,,,,
,,,,,6302,40.0,40,,,,,,
,,,,,6335,33.0,33,,,,,,
,,,,,6380,45.0,45,,,,,,
,,,,,6430,50.0,50,,,,,,
,,,,,6494,64.0,64,,,,,,
,,,,,6512,18.0,18,,,,,,
,,,,,6543,31.0,31,,,,,,
,,,,,6558,15.0,15,,,,,,
,,,,,6586,28.0,28,,,,,,
,,,,,6612,26.0,26,,,,,,
,,,,,6642,30.0,30,,,,,,
,,,,,6663,21.0,21,,,,,,
,,,,,6705,42.0,42,,,,,,
,,,,,6725,20.0,20,,,,,,
,,,,,6742,17.0,17,,,,,,
,,,,,6782,40.0,40,,,,,,
,,,,,6790,8.0,8,,,,,,
,,,,,6804,14.0,14,,,,,,
,,,,,6823,19.0,19,,,,,,
,,,,,6836,13.0,13,,,,,,
,,,,,6859,23.0,23,,,,,,
,,,,,6891,32.0,32,,,,,,
,,,,,6904,13.0,13,,,,,,
,,,,,6914,10.0,10,,,,,,
,,,,,6970,56.0,56,,,,,,
,,,,,7000,,,0.09869591891765594,5.528481483459473,5.5180792808532715,0.605379581451416,0.79,0.0005
,,,,,7009,39.0,39,,,,,,
,,,,,7051,42.0,42,,,,,,
,,,,,7070,19.0,19,,,,,,
,,,,,7084,14.0,14,,,,,,
,,,,,7117,33.0,33,,,,,,
,,,,,7145,28.0,28,,,,,,
,,,,,7159,14.0,14,,,,,,
,,,,,7177,18.0,18,,,,,,
,,,,,7249,72.0,72,,,,,,
,,,,,7275,26.0,26,,,,,,
,,,,,7303,28.0,28,,,,,,
,,,,,7320,17.0,17,,,,,,
,,,,,7356,36.0,36,,,,,,
,,,,,7365,9.0,9,,,,,,
,,,,,7387,22.0,22,,,,,,
,,,,,7395,8.0,8,,,,,,
,,,,,7434,39.0,39,,,,,,
,,,,,7472,38.0,38,,,,,,
,,,,,7488,16.0,16,,,,,,
253.5,44.32437,340.0,202.0,253.5,7500,,,0.052491653710603714,6.303565502166748,6.308948040008545,0.45408394932746887,0.775,0.0005
,,,,,7503,15.0,15,,,,,,
,,,,,7521,18.0,18,,,,,,
,,,,,7546,25.0,25,,,,,,
,,,,,7576,30.0,30,,,,,,
,,,,,7600,24.0,24,,,,,,
,,,,,7629,29.0,29,,,,,,
,,,,,7649,20.0,20,,,,,,
,,,,,7670,21.0,21,,,,,,
,,,,,7685,15.0,15,,,,,,
,,,,,7728,43.0,43,,,,,,
,,,,,7752,24.0,24,,,,,,
,,,,,7778,26.0,26,,,,,,
,,,,,7806,28.0,28,,,,,,
,,,,,7824,18.0,18,,,,,,
,,,,,7927,103.0,103,,,,,,
,,,,,7955,28.0,28,,,,,,
,,,,,7989,34.0,34,,,,,,
,,,,,8000,,,0.054378166794776917,6.491554260253906,6.495213508605957,0.3775317370891571,0.76,0.0005
,,,,,8028,39.0,39,,,,,,
,,,,,8054,26.0,26,,,,,,
,,,,,8071,17.0,17,,,,,,
,,,,,8112,41.0,41,,,,,,
,,,,,8188,76.0,76,,,,,,
,,,,,8232,44.0,44,,,,,,
,,,,,8308,76.0,76,,,,,,
,,,,,8431,123.0,123,,,,,,
,,,,,8454,23.0,23,,,,,,
,,,,,8489,35.0,35,,,,,,
,,,,,8504,15.0,15,,,,,,
,,,,,8529,25.0,25,,,,,,
,,,,,8555,26.0,26,,,,,,
,,,,,8588,33.0,33,,,,,,
,,,,,8633,45.0,45,,,,,,
,,,,,8653,20.0,20,,,,,,
,,,,,8692,39.0,39,,,,,,
,,,,,8727,35.0,35,,,,,,
,,,,,8763,36.0,36,,,,,,
,,,,,8887,124.0,124,,,,,,
,,,,,8930,43.0,43,,,,,,
,,,,,8951,21.0,21,,,,,,
,,,,,8968,17.0,17,,,,,,
,,,,,8989,21.0,21,,,,,,
,,,,,9000,,,0.05753198638558388,7.349994659423828,7.292686462402344,0.7037100791931152,0.73,0.0005
,,,,,9022,33.0,33,,,,,,
,,,,,9036,14.0,14,,,,,,
,,,,,9051,15.0,15,,,,,,
,,,,,9064,13.0,13,,,,,,
,,,,,9101,37.0,37,,,,,,
,,,,,9114,13.0,13,,,,,,
,,,,,9125,11.0,11,,,,,,
,,,,,9138,13.0,13,,,,,,
,,,,,9188,50.0,50,,,,,,
,,,,,9217,29.0,29,,,,,,
,,,,,9235,18.0,18,,,,,,
,,,,,9258,23.0,23,,,,,,
,,,,,9287,29.0,29,,,,,,
