Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.6,4.4090815,18.0,3.0,6.6,0,,,,,,,,,,
,,,,,2,3.0,3,,,,,,,,
,,,,,13,11.0,11,,,,,,,,
,,,,,19,6.0,6,,,,,,,,
,,,,,22,3.0,3,,,,,,,,
,,,,,27,5.0,5,,,,,,,,
,,,,,38,11.0,11,,,,,,,,
,,,,,46,8.0,8,,,,,,,,
,,,,,57,11.0,11,,,,,,,,
,,,,,60,3.0,3,,,,,,,,
,,,,,63,3.0,3,,,,,,,,
,,,,,67,4.0,4,,,,,,,,
,,,,,73,6.0,6,,,,,,,,
,,,,,82,9.0,9,,,,,,,,
,,,,,87,5.0,5,,,,,,,,
,,,,,90,3.0,3,,,,,,,,
,,,,,98,8.0,8,,,,,,,,
,,,,,104,6.0,6,,,,,,,,
,,,,,116,12.0,12,,,,,,,,
,,,,,119,3.0,3,,,,,,,,
,,,,,127,8.0,8,,,,,,,,
,,,,,131,4.0,4,,,,,,,,
,,,,,137,6.0,6,,,,,,,,
,,,,,140,3.0,3,,,,,,,,
,,,,,146,6.0,6,,,,,,,,
,,,,,152,6.0,6,,,,,,,,
,,,,,156,4.0,4,,,,,,,,
,,,,,160,4.0,4,,,,,,,,
,,,,,163,3.0,3,,,,,,,,
,,,,,172,9.0,9,,,,,,,,
,,,,,186,14.0,14,,,,,,,,
,,,,,194,8.0,8,,,,,,,,
,,,,,197,3.0,3,,,,,,,,
,,,,,201,4.0,4,,,,,,,,
,,,,,208,7.0,7,,,,,,,,
,,,,,213,5.0,5,,,,,,,,
,,,,,219,6.0,6,,,,,,,,
,,,,,225,6.0,6,,,,,,,,
,,,,,228,3.0,3,,,,,,,,
,,,,,235,7.0,7,,,,,,,,
,,,,,241,6.0,6,,,,,,,,
,,,,,249,8.0,8,,,,,,,,
,,,,,254,5.0,5,,,,,,,,
,,,,,265,11.0,11,,,,,,,,
,,,,,273,8.0,8,,,,,,,,
,,,,,279,6.0,6,,,,,,,,
,,,,,283,4.0,4,,,,,,,,
,,,,,294,11.0,11,,,,,,,,
,,,,,298,4.0,4,,,,,,,,
,,,,,302,4.0,4,,,,,,,,
,,,,,305,3.0,3,,,,,,,,
,,,,,309,4.0,4,,,,,,,,
,,,,,315,6.0,6,,,,,,,,
,,,,,320,5.0,5,,,,,,,,
,,,,,332,12.0,12,,,,,,,,
,,,,,341,9.0,9,,,,,,,,
,,,,,345,4.0,4,,,,,,,,
,,,,,353,8.0,8,,,,,,,,
,,,,,358,5.0,5,,,,,,,,
,,,,,362,4.0,4,,,,,,,,
,,,,,367,5.0,5,,,,,,,,
,,,,,387,20.0,20,,,,,,,,
,,,,,396,9.0,9,,,,,,,,
,,,,,399,3.0,3,,,,,,,,
,,,,,402,3.0,3,,,,,,,,
,,,,,405,3.0,3,,,,,,,,
,,,,,409,4.0,4,,,,,,,,
,,,,,412,3.0,3,,,,,,,,
,,,,,425,13.0,13,,,,,,,,
,,,,,430,5.0,5,,,,,,,,
,,,,,435,5.0,5,,,,,,,,
,,,,,438,3.0,3,,,,,,,,
,,,,,444,6.0,6,,,,,,,,
,,,,,447,3.0,3,,,,,,,,
