eval/mean_reward,step,train/epoch,train/loss,train/samples_per_sec,train/steps_per_sec
0.10834875526862435,0,,,,
,100,0,0.21459953889250755,369.94121287307564,5.780331451141807
,200,0,0.14102778911590577,55300.17626931186,864.0652542079978
,300,0,0.12436355903744697,55917.661243818475,873.7134569346637
,400,1,0.12127585940063,55034.82672628773,859.9191675982457
,500,1,0.10842830836772918,56003.78025516722,875.0590664869878
,600,1,0.1066240531951189,56537.102473498235,883.3922261484099
,700,1,0.10327425613999366,57881.884778873115,904.4044496698924
,800,2,0.09662105917930602,56818.68624543897,887.7919725849839
,900,2,0.09232118409126996,54754.20495183341,855.534452372397
,1000,2,0.09110304687172174,56637.66935990584,884.9635837485288
,1100,2,0.087728729583323,56668.762230269975,885.4494098479684
,1200,3,0.08594024527817964,56304.32487595453,879.7550761867896
,1300,3,0.08169990543276072,56331.085957716474,880.1732180893199
,1400,3,0.08100108224898576,56587.59140222283,884.1811156597317
,1500,3,0.0795802305266261,56792.97186973112,887.3901854645487
,1600,4,0.07666276142001152,55334.12299738028,864.5956718340668
,1700,4,0.07706948548555374,55896.172858914564,873.3777009205401
,1800,4,0.07297391146421432,56318.19781766983,879.9718409010911
,1900,5,0.07196108557283878,55594.645540701364,868.6663365734588
,2000,5,0.07241489473730325,55491.48985979728,867.0545290593325
,2100,5,0.06555376295000315,55262.453480239354,863.4758356287399
,2200,5,0.06955503288656473,55091.67599208057,860.8074373762589
,2300,6,0.06652489051222801,55767.58857461529,871.368571478364
,2400,6,0.0639905197173357,56688.840270334906,885.7631292239829
,2500,6,0.06332941245287657,56095.08116257056,876.485643165165
,2600,6,0.061497608050704006,55417.972741284655,865.9058240825727
,2700,7,0.05891517985612154,55205.7275942379,862.5894936599672
,2800,7,0.05895494855940342,54819.86534870574,856.5603960735272
,2900,7,0.058115442469716075,54586.08396022039,852.9075618784436
,3000,7,0.05960514966398477,55102.111099631504,860.9704859317422
,3100,8,0.05659208990633488,54539.56675131662,852.1807304893222
,3200,8,0.05701497877016663,54799.212261323744,856.2376915831835
,3300,8,0.05446338169276714,54635.478914119856,853.6793580331228
,3400,8,0.054229621626436714,55155.77196535528,861.8089369586762
,3500,9,0.055123437866568564,54963.45788854441,858.8040295085065
,3600,9,0.05174782007932663,55281.06968869847,863.7667138859136
,3700,9,0.04997018206864595,55346.56462143815,864.7900722099711
,3800,10,0.053502091094851496,54599.123001586784,853.1112968997935
,3900,10,0.04881670536473393,54718.626562473284,854.9785400386451
,4000,10,0.052565899807959796,51420.077933555614,803.4387177118065
,4100,10,0.04984148308634758,45127.62656889014,705.1191651389084
,4200,11,0.04683233059942722,50978.95525003585,796.5461757818101
,4300,11,0.050779746137559416,55390.633790017564,865.4786529690244
,4400,11,0.04948887553066015,55754.47124724495,871.1636132382023
,4500,11,0.04923689987510443,42105.817181805025,657.9033934657035
,4600,12,0.046029267329722644,48290.95299177544,754.5461404964913
,4700,12,0.04586306497454643,49244.785054207736,769.4497664719959
,4800,12,0.04592067057266831,45539.284748608916,711.5513241970143
,4900,12,0.04782193904742599,44008.939315798525,687.639676809352
,5000,13,0.04652496919035912,46355.64923259672,724.3070192593237
,5100,13,0.04466919196769595,45128.26298495255,705.1291091398836
,5200,13,0.047398993875831366,49996.484622175,781.1950722214843
,5300,14,0.04386416465044021,50507.44195590069,789.1787805609483
,5400,14,0.04122949337586761,49468.981402754805,772.9528344180438
,5500,14,0.0432114072330296,51842.431410033125,810.0379907817676
,5600,14,0.04369584247469902,52828.81812028462,825.4502831294471
,5700,15,0.04270881477743387,53966.08568802543,843.2200888753973
,5800,15,0.04207047365605831,54609.37233352674,853.2714427113553
,5900,15,0.04410426959395409,54625.21978115771,853.5190590805893
,6000,15,0.042031135205179454,55122.99317852959,861.2967684145249
,6100,16,0.039444594793021676,55243.37295318988,863.1777023935919
,6200,16,0.04145908271893859,55558.44922478601,868.1007691372814
,6300,16,0.03945551376789808,55898.12566597376,873.40821353084
,6400,16,0.040574026182293894,56001.33003158825,875.0207817435664
,6500,17,0.04196389498189092,55012.59272630376,859.5717613484962
,6600,17,0.04003729607909918,55248.61878453039,863.2596685082873
,6700,17,0.03923748081550002,55638.14342470159,869.3459910109624
,6800,17,0.03968297686427832,55423.73174913834,865.9958085802865
,6900,18,0.03754837805405259,54997.93757734085,859.3427746459507
