Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,3252,35.0,35,,,,,,
,,,,,3264,12.0,12,,,,,,
,,,,,3283,19.0,19,,,,,,
,,,,,3314,31.0,31,,,,,,
,,,,,3327,13.0,13,,,,,,
,,,,,3387,60.0,60,,,,,,
,,,,,3402,15.0,15,,,,,,
,,,,,3432,30.0,30,,,,,,
,,,,,3460,28.0,28,,,,,,
,,,,,3476,16.0,16,,,,,,
,,,,,3505,29.0,29,,,,,,
,,,,,3522,17.0,17,,,,,,
,,,,,3538,16.0,16,,,,,,
,,,,,3550,12.0,12,,,,,,
,,,,,3578,28.0,28,,,,,,
,,,,,3594,16.0,16,,,,,,
,,,,,3652,58.0,58,,,,,,
,,,,,3667,15.0,15,,,,,,
,,,,,3686,19.0,19,,,,,,
,,,,,3711,25.0,25,,,,,,
,,,,,3760,49.0,49,,,,,,
,,,,,3782,22.0,22,,,,,,
,,,,,3795,13.0,13,,,,,,
,,,,,3814,19.0,19,,,,,,
,,,,,3873,59.0,59,,,,,,
,,,,,3895,22.0,22,,,,,,
,,,,,3909,14.0,14,,,,,,
,,,,,3941,32.0,32,,,,,,
,,,,,3996,55.0,55,,,,,,
,,,,,4000,,,0.07998581230640411,3.045640468597412,3.0355091094970703,0.4848206043243408,0.88,0.0005
,,,,,4013,17.0,17,,,,,,
,,,,,4024,11.0,11,,,,,,
,,,,,4064,40.0,40,,,,,,
,,,,,4107,43.0,43,,,,,,
,,,,,4128,21.0,21,,,,,,
,,,,,4152,24.0,24,,,,,,
,,,,,4170,18.0,18,,,,,,
,,,,,4201,31.0,31,,,,,,
,,,,,4223,22.0,22,,,,,,
,,,,,4243,20.0,20,,,,,,
,,,,,4265,22.0,22,,,,,,
,,,,,4341,76.0,76,,,,,,
,,,,,4351,10.0,10,,,,,,
,,,,,4363,12.0,12,,,,,,
,,,,,4416,53.0,53,,,,,,
,,,,,4435,19.0,19,,,,,,
,,,,,4510,75.0,75,,,,,,
,,,,,4532,22.0,22,,,,,,
,,,,,4542,10.0,10,,,,,,
,,,,,4580,38.0,38,,,,,,
,,,,,4624,44.0,44,,,,,,
,,,,,4643,19.0,19,,,,,,
,,,,,4677,34.0,34,,,,,,
,,,,,4699,22.0,22,,,,,,
,,,,,4719,20.0,20,,,,,,
,,,,,4750,31.0,31,,,,,,
,,,,,4772,22.0,22,,,,,,
,,,,,4797,25.0,25,,,,,,
,,,,,4843,46.0,46,,,,,,
,,,,,4866,23.0,23,,,,,,
,,,,,4887,21.0,21,,,,,,
,,,,,4966,79.0,79,,,,,,
118.5,67.562195,279.0,67.0,118.5,5000,,,0.03674738109111786,4.080950736999512,4.070159435272217,0.14898794889450073,0.85,0.0005
,,,,,5007,41.0,41,,,,,,
,,,,,5073,66.0,66,,,,,,
,,,,,5125,52.0,52,,,,,,
,,,,,5171,46.0,46,,,,,,
,,,,,5205,34.0,34,,,,,,
,,,,,5222,17.0,17,,,,,,
,,,,,5237,15.0,15,,,,,,
,,,,,5251,14.0,14,,,,,,
,,,,,5328,77.0,77,,,,,,
,,,,,5374,46.0,46,,,,,,
,,,,,5402,28.0,28,,,,,,
,,,,,5417,15.0,15,,,,,,
,,,,,5435,18.0,18,,,,,,
,,,,,5446,11.0,11,,,,,,
,,,,,5475,29.0,29,,,,,,
,,,,,5514,39.0,39,,,,,,
,,,,,5564,50.0,50,,,,,,
,,,,,5593,29.0,29,,,,,,
,,,,,5637,44.0,44,,,,,,
,,,,,5654,17.0,17,,,,,,
,,,,,5668,14.0,14,,,,,,
,,,,,5716,48.0,48,,,,,,
,,,,,5732,16.0,16,,,,,,
,,,,,5745,13.0,13,,,,,,
,,,,,5765,20.0,20,,,,,,
,,,,,5785,20.0,20,,,,,,
,,,,,5818,33.0,33,,,,,,
,,,,,5868,50.0,50,,,,,,
,,,,,5905,37.0,37,,,,,,
,,,,,5927,22.0,22,,,,,,
,,,,,6000,,,0.027226613834500313,4.976297378540039,4.969547748565674,0.2298630177974701,0.82,0.0005
,,,,,6015,88.0,88,,,,,,
,,,,,6029,14.0,14,,,,,,
,,,,,6054,25.0,25,,,,,,
,,,,,6102,48.0,48,,,,,,
,,,,,6171,69.0,69,,,,,,
,,,,,6211,40.0,40,,,,,,
,,,,,6230,19.0,19,,,,,,
,,,,,6251,21.0,21,,,,,,
,,,,,6285,34.0,34,,,,,,
,,,,,6304,19.0,19,,,,,,
,,,,,6328,24.0,24,,,,,,
,,,,,6339,11.0,11,,,,,,
,,,,,6360,21.0,21,,,,,,
,,,,,6402,42.0,42,,,,,,
,,,,,6433,31.0,31,,,,,,
,,,,,6452,19.0,19,,,,,,
,,,,,6466,14.0,14,,,,,,
,,,,,6484,18.0,18,,,,,,
,,,,,6504,20.0,20,,,,,,
,,,,,6544,40.0,40,,,,,,
,,,,,6564,20.0,20,,,,,,
,,,,,6594,30.0,30,,,,,,
,,,,,6678,84.0,84,,,,,,
,,,,,6694,16.0,16,,,,,,
,,,,,6722,28.0,28,,,,,,
,,,,,6807,85.0,85,,,,,,
,,,,,6821,14.0,14,,,,,,
,,,,,6848,27.0,27,,,,,,
,,,,,6857,9.0,9,,,,,,
,,,,,6924,67.0,67,,,,,,
,,,,,6936,12.0,12,,,,,,
,,,,,6949,13.0,13,,,,,,
,,,,,7000,,,0.02081041783094406,5.799114227294922,5.812894821166992,0.19097736477851868,0.79,0.0005
,,,,,7067,118.0,118,,,,,,
,,,,,7089,22.0,22,,,,,,
,,,,,7106,17.0,17,,,,,,
,,,,,7117,11.0,11,,,,,,
,,,,,7130,13.0,13,,,,,,
,,,,,7159,29.0,29,,,,,,
,,,,,7181,22.0,22,,,,,,
,,,,,7202,21.0,21,,,,,,
,,,,,7218,16.0,16,,,,,,
,,,,,7236,18.0,18,,,,,,
,,,,,7252,16.0,16,,,,,,
,,,,,7270,18.0,18,,,,,,
,,,,,7293,23.0,23,,,,,,
,,,,,7347,54.0,54,,,,,,
,,,,,7360,13.0,13,,,,,,
,,,,,7375,15.0,15,,,,,,
,,,,,7420,45.0,45,,,,,,
,,,,,7463,43.0,43,,,,,,
236.0,62.985714,413.0,182.0,236.0,7500,,,0.13759994506835938,6.491026401519775,6.4279632568359375,0.8330363035202026,0.775,0.0005
,,,,,7501,38.0,38,,,,,,
,,,,,7522,21.0,21,,,,,,
,,,,,7541,19.0,19,,,,,,
,,,,,7602,61.0,61,,,,,,
,,,,,7624,22.0,22,,,,,,
,,,,,7640,16.0,16,,,,,,
,,,,,7678,38.0,38,,,,,,
,,,,,7693,15.0,15,,,,,,
,,,,,7707,14.0,14,,,,,,
,,,,,7718,11.0,11,,,,,,
,,,,,7740,22.0,22,,,,,,
,,,,,7759,19.0,19,,,,,,
,,,,,7774,15.0,15,,,,,,
,,,,,7810,36.0,36,,,,,,
,,,,,7840,30.0,30,,,,,,
,,,,,7904,64.0,64,,,,,,
,,,,,7914,10.0,10,,,,,,
,,,,,7946,32.0,32,,,,,,
,,,,,7964,18.0,18,,,,,,
,,,,,7997,33.0,33,,,,,,
,,,,,8000,,,0.016142450273036957,6.8022050857543945,6.799283981323242,0.25367841124534607,0.76,0.0005
,,,,,8014,17.0,17,,,,,,
,,,,,8033,19.0,19,,,,,,
,,,,,8055,22.0,22,,,,,,
,,,,,8185,130.0,130,,,,,,
,,,,,8273,88.0,88,,,,,,
,,,,,8300,27.0,27,,,,,,
,,,,,8341,41.0,41,,,,,,
,,,,,8379,38.0,38,,,,,,
,,,,,8407,28.0,28,,,,,,
,,,,,8449,42.0,42,,,,,,
,,,,,8489,40.0,40,,,,,,
,,,,,8510,21.0,21,,,,,,
,,,,,8524,14.0,14,,,,,,
,,,,,8615,91.0,91,,,,,,
,,,,,8628,13.0,13,,,,,,
,,,,,8654,26.0,26,,,,,,
,,,,,8670,16.0,16,,,,,,
,,,,,8712,42.0,42,,,,,,
,,,,,8794,82.0,82,,,,,,
,,,,,8809,15.0,15,,,,,,
,,,,,8837,28.0,28,,,,,,
,,,,,8863,26.0,26,,,,,,
,,,,,8905,42.0,42,,,,,,
,,,,,8918,13.0,13,,,,,,
,,,,,8932,14.0,14,,,,,,
,,,,,8966,34.0,34,,,,,,
,,,,,9000,,,0.05882394313812256,7.2835774421691895,7.314208030700684,0.5124900341033936,0.73,0.0005
,,,,,9015,49.0,49,,,,,,
,,,,,9055,40.0,40,,,,,,
,,,,,9078,23.0,23,,,,,,
,,,,,9104,26.0,26,,,,,,
,,,,,9161,57.0,57,,,,,,
,,,,,9191,30.0,30,,,,,,
,,,,,9218,27.0,27,,,,,,
,,,,,9258,40.0,40,,,,,,
,,,,,9273,15.0,15,,,,,,
,,,,,9303,30.0,30,,,,,,
,,,,,9350,47.0,47,,,,,,
,,,,,9362,12.0,12,,,,,,
,,,,,9460,98.0,98,,,,,,
,,,,,9483,23.0,23,,,,,,
,,,,,9544,61.0,61,,,,,,
,,,,,9572,28.0,28,,,,,,
,,,,,9601,29.0,29,,,,,,
,,,,,9658,57.0,57,,,,,,
