Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-258.17706,92.592964,-121.259605,-377.68008,1000.0,0,,,,,,,,,,
,,,,,999,-294.15805,1000,,,,,,,,
,,,,,1999,-107.405,1000,,,,,,,,
,,,,,2999,-275.77533,1000,,,,,,,,
,,,,,3999,-239.86873,1000,,,,,,,,
,,,,,4999,-339.03146,1000,,,,,,,,
-247.59448,53.82405,-157.57567,-326.7309,1000.0,5000,,,,,,,,,,
,,,,,5999,-192.27562,1000,,,,,,,,
,,,,,6999,-271.83044,1000,,,,,,,,
,,,,,7999,-390.43597,1000,,,,,,,,
,,,,,8999,-193.00452,1000,,,,,,,,
,,,,,9999,-167.23737,1000,,,,,,,,
-277.62677,91.31511,-134.43102,-440.78687,1000.0,10000,,,-0.38439902663230896,3.707958221435547,0.5410914421081543,-0.021471338346600533,0.19384807348251343,0.0003,0.0003,0.1
,,,,,10999,-225.2674,1000,,,,,,,,
,,,,,11000,,,-2.42561936378479,2.134065628051758,0.3918535113334656,1.5600570440292358,1.6825553178787231,0.0003,0.0003,0.1
